symbol,market,asset_type
6857.T,jp,stock
7182.T,jp,stock
6752.T,jp,stock
5803.T,jp,stock
9433.T,jp,stock
9434.T,jp,stock
5802.T,jp,stock
4062.T,jp,stock
8015.T,jp,stock
8750.T,jp,stock
4578.T,jp,stock
6301.T,jp,stock
8630.T,jp,stock
6701.T,jp,stock
8802.T,jp,stock
GOOG,us,stock
TSM,us,stock
ASML,us,stock
LRCX,us,stock
MS,us,stock
KLAC,us,stock
HSBC,us,stock
GS,us,stock
NVS,us,stock
AZN,us,stock
PM,us,stock
MRVL,us,stock
BABA,us,stock
SHEL,us,stock
UNP,us,stock
VO,us,etf
VB,us,etf
VGT,us,etf
IEMG,us,etf
AGG,us,etf
XLK,us,etf
BNDX,us,etf
IJH,us,etf
IJR,us,etf
SPLG,us,etf
