symbol,market,asset_type
8031.T,jp,stock
7974.T,jp,stock
4519.T,jp,stock
4568.T,jp,stock
6981.T,jp,stock
7751.T,jp,stock
6902.T,jp,stock
8411.T,jp,stock
9022.T,jp,stock
4689.T,jp,stock
6702.T,jp,stock
9843.T,jp,stock
4911.T,jp,stock
2502.T,jp,stock
6146.T,jp,stock
6920.T,jp,stock
7735.T,jp,stock
6273.T,jp,stock
6594.T,jp,stock
6971.T,jp,stock
6762.T,jp,stock
4901.T,jp,stock
4523.T,jp,stock
4503.T,jp,stock
7741.T,jp,stock
SHOP,us,stock
PYPL,us,stock
BAC,us,stock
AXP,us,stock
BRK-B,us,stock
LLY,us,stock
AMGN,us,stock
DHR,us,stock
ACN,us,stock
LIN,us,stock
TGT,us,stock
ISRG,us,stock
PANW,us,stock
INTU,us,stock
ABT,us,stock
ADI,us,stock
ADM,us,stock
AEP,us,stock
AFL,us,stock
AIG,us,stock
ALL,us,stock
AME,us,stock
ANET,us,stock
APD,us,stock
BDX,us,stock
VOO,us,etf
VT,us,etf
IVV,us,etf
SCHD,us,etf
VYM,us,etf
QQQM,us,etf
VUG,us,etf
VTV,us,etf
VIG,us,etf
VXUS,us,etf
