symbol,market,asset_type
285A.T,jp,stock
1802.T,jp,stock
4612.T,jp,stock
4186.T,jp,stock
7202.T,jp,stock
7532.T,jp,stock
9468.T,jp,stock
6436.T,jp,stock
3167.T,jp,stock
4816.T,jp,stock
7184.T,jp,stock
7352.T,jp,stock
4889.T,jp,stock
6222.T,jp,stock
2220.T,jp,stock
7238.T,jp,stock
3840.T,jp,stock
1443.T,jp,stock
7610.T,jp,stock
7836.T,jp,stock
6836.T,jp,stock
2256.T,jp,etf
573A.T,jp,etf
2633.T,jp,etf
1329.T,jp,etf
392A.T,jp,etf
179A.T,jp,etf
1629.T,jp,etf
453A.T,jp,etf
435A.T,jp,etf
1488.T,jp,etf
1656.T,jp,etf
563A.T,jp,etf
318A.T,jp,etf
213A.T,jp,etf
2644.T,jp,etf
NVO,us,stock
ARM,us,stock
BHP,us,stock
GEV,us,stock
SNDK,us,stock
ZBH,us,stock
SAIL,us,stock
PH,us,stock
ABEV,us,stock
PR,us,stock
MTN,us,stock
HLNE,us,stock
TFPM,us,stock
DDS,us,stock
TGB,us,stock
STTK,us,stock
LRMR,us,stock
NPK,us,stock
ALIT,us,stock
CBRL,us,stock
EXFY,us,stock
KTTA,us,stock
TTEC,us,stock
AIOS,us,stock
CTXR,us,stock
RSP,us,etf
SPDW,us,etf
BWX,us,etf
AVDE,us,etf
QQQI,us,etf
ROBO,us,etf
BKCH,us,etf
SHV,us,etf
VBR,us,etf
ESGD,us,etf
LIT,us,etf
BAR,us,etf
DEM,us,etf
VDC,us,etf
SPTI,us,etf
