symbol,market,asset_type
1332.T,jp,stock
1801.T,jp,stock
1925.T,jp,stock
2802.T,jp,stock
3407.T,jp,stock
4188.T,jp,stock
4452.T,jp,stock
5108.T,jp,stock
5713.T,jp,stock
6178.T,jp,stock
6503.T,jp,stock
7011.T,jp,stock
7013.T,jp,stock
7267.T,jp,stock
7453.T,jp,stock
7701.T,jp,stock
8001.T,jp,stock
8002.T,jp,stock
8053.T,jp,stock
8267.T,jp,stock
8316.T,jp,stock
8604.T,jp,stock
8725.T,jp,stock
8801.T,jp,stock
9001.T,jp,stock
9007.T,jp,stock
9501.T,jp,stock
9602.T,jp,stock
9735.T,jp,stock
9983.T,jp,stock
ABNB,us,stock
ADBE,us,stock
ADP,us,stock
AMAT,us,stock
BKNG,us,stock
BND,us,etf
C,us,stock
CMCSA,us,stock
COP,us,stock
COST,us,stock
CSCO,us,stock
CVS,us,stock
DE,us,stock
DIA,us,etf
EWG,us,etf
EWJ,us,etf
GILD,us,stock
HON,us,stock
IAU,us,etf
IBM,us,stock
IEF,us,etf
LMT,us,stock
LOW,us,stock
LQD,us,etf
MA,us,stock
NKE,us,stock
NOW,us,stock
QCOM,us,stock
RTX,us,stock
SBUX,us,stock
SCHW,us,stock
SO,us,stock
TMO,us,stock
TXN,us,stock
UPS,us,stock
V,us,stock
VEA,us,etf
VGK,us,etf
VWO,us,etf
WFC,us,stock
YUM,us,stock
