symbol,status,bar_count,code,message,batch_index
1301.T,ok,7,,,1
130A.T,ok,7,,,1
1332.T,ok,7,,,1
1333.T,ok,7,,,1
135A.T,ok,7,,,1
1375.T,ok,7,,,1
1376.T,ok,7,,,1
1377.T,ok,7,,,1
1379.T,ok,7,,,1
137A.T,ok,7,,,1
1380.T,ok,7,,,1
1381.T,ok,7,,,1
1382.T,ok,7,,,1
1383.T,ok,7,,,1
1384.T,ok,7,,,1
138A.T,ok,7,,,1
1401.T,ok,7,,,1
1407.T,ok,7,,,1
1414.T,ok,7,,,1
1417.T,ok,7,,,1
1418.T,ok,7,,,1
1419.T,ok,7,,,1
141A.T,ok,7,,,1
1420.T,ok,7,,,1
1429.T,ok,7,,,1
142A.T,ok,7,,,2
1430.T,ok,7,,,2
1431.T,ok,7,,,2
1433.T,ok,7,,,2
1434.T,ok,7,,,2
1435.T,ok,7,,,2
1436.T,ok,7,,,2
1438.T,ok,7,,,2
143A.T,ok,7,,,2
1443.T,ok,7,,,2
1444.T,ok,7,,,2
1446.T,ok,7,,,2
1447.T,ok,7,,,2
1450.T,ok,7,,,2
145A.T,ok,7,,,2
146A.T,ok,7,,,2
147A.T,ok,7,,,2
148A.T,ok,7,,,2
1491.T,ok,7,,,2
149A.T,ok,7,,,2
150A.T,ok,7,,,2
1514.T,ok,7,,,2
1515.T,ok,7,,,2
1518.T,ok,7,,,2
151A.T,ok,7,,,2
153A.T,ok,7,,,3
155A.T,ok,7,,,3
156A.T,ok,7,,,3
157A.T,ok,7,,,3
160A.T,ok,7,,,3
1662.T,ok,7,,,3
1663.T,ok,7,,,3
166A.T,ok,7,,,3
167A.T,ok,7,,,3
168A.T,ok,7,,,3
1711.T,ok,7,,,3
1716.T,ok,7,,,3
1717.T,ok,7,,,3
1718.T,ok,7,,,3
1719.T,ok,7,,,3
1720.T,ok,7,,,3
1721.T,ok,7,,,3
1723.T,ok,7,,,3
1724.T,ok,7,,,3
1726.T,ok,7,,,3
1736.T,ok,7,,,3
173A.T,ok,7,,,3
1758.T,ok,7,,,3
