symbol,status,bar_count,code,message,batch_index
1301.T,ok,7,,,1
1887.T,ok,7,,,1
2221.T,ok,7,,,1
2579.T,ok,7,,,1
2908.T,ok,7,,,1
3151.T,ok,7,,,1
3416.T,ok,7,,,1
3668.T,ok,7,,,1
3917.T,ok,7,,,1
410A.T,ok,7,,,1
4367.T,ok,7,,,2
4548.T,ok,7,,,2
4772.T,ok,7,,,2
5079.T,ok,7,,,2
549A.T,ok,7,,,2
5945.T,ok,7,,,2
6177.T,ok,7,,,2
6384.T,ok,7,,,2
6615.T,ok,7,,,2
6877.T,ok,7,,,2
7122.T,ok,7,,,3
7374.T,ok,7,,,3
7637.T,ok,7,,,3
7893.T,ok,7,,,3
8115.T,ok,7,,,3
8542.T,ok,7,,,3
9057.T,ok,7,,,3
9348.T,ok,7,,,3
9697.T,ok,7,,,3
9997.T,ok,7,,,3
