symbol,status,bar_count,code,message,batch_index
VT,ok,7,,,1
IVV,ok,7,,,1
SCHD,ok,7,,,1
VYM,ok,7,,,1
DIA,ok,7,,,1
QQQM,ok,7,,,1
SPLG,ok,7,,,1
ITOT,ok,7,,,1
SCHX,ok,7,,,1
VUG,ok,7,,,1
VTV,ok,7,,,1
VIG,ok,7,,,1
DGRO,ok,7,,,1
HDV,ok,7,,,1
VXUS,ok,7,,,1
VEA,ok,7,,,1
VWO,ok,7,,,1
EFA,ok,7,,,1
IEMG,ok,7,,,1
VB,ok,7,,,1
VO,ok,7,,,1
QUAL,ok,7,,,1
AAPD,ok,7,,,1
AAPU,ok,7,,,1
ACWI,ok,7,,,1
AFK,ok,7,,,1
AFRU,ok,7,,,1
AGG,ok,7,,,1
AGGY,ok,7,,,1
AIQ,ok,7,,,1
AIRR,ok,7,,,1
AIPI,ok,7,,,1
ALTY,ok,7,,,1
AMZD,ok,7,,,1
AMZU,ok,7,,,1
ARMU,no_bars,0,YAHOO-NO-BARS,Yahoo returned no OHLCV bars for this symbol.,1
AVUS,ok,7,,,1
AVGU,ok,7,,,1
AVUV,ok,7,,,1
AVDE,ok,7,,,1
AVEM,ok,7,,,1
AVL,ok,7,,,1
AVS,ok,7,,,1
BBAG,ok,7,,,1
BBJP,ok,7,,,1
BBHY,ok,7,,,1
BBUS,ok,7,,,1
BBH,ok,7,,,1
BIV,ok,7,,,1
BKCH,ok,7,,,1
BLV,ok,7,,,2
BND,ok,7,,,2
BNDX,ok,7,,,2
BMAX,ok,1,,,2
BMNU,ok,7,,,2
BOTZ,ok,7,,,2
BRF,ok,7,,,2
BRZU,ok,7,,,2
BSV,ok,7,,,2
BUG,ok,7,,,2
BWX,ok,7,,,2
CCEF,ok,7,,,2
CCUP,ok,7,,,2
CRWU,ok,7,,,2
CEPI,ok,7,,,2
CHAU,ok,7,,,2
CIBR,ok,7,,,2
CLOU,ok,7,,,2
CLIP,ok,7,,,2
CNRG,ok,7,,,2
CRWL,ok,7,,,2
CRCG,ok,7,,,2
CRWG,ok,7,,,2
CNXT,ok,7,,,2
COM,ok,7,,,2
COPX,ok,7,,,2
CTEC,ok,7,,,2
CURE,ok,7,,,2
CWB,ok,7,,,2
CWEB,ok,7,,,2
CWI,ok,7,,,2
CXSE,ok,7,,,2
DEM,ok,7,,,2
DES,ok,7,,,2
DEW,ok,7,,,2
DFE,ok,7,,,2
DFEN,ok,7,,,2
DFJ,ok,7,,,2
DGRE,ok,7,,,2
DGRS,ok,7,,,2
DGRW,ok,7,,,2
DGS,ok,7,,,2
DHS,ok,7,,,2
DIV,ok,7,,,2
DJIA,ok,7,,,2
DJTU,ok,7,,,2
DLN,ok,7,,,2
DLLL,ok,7,,,2
DOGG,ok,7,,,2
DON,ok,7,,,2
DPST,ok,7,,,3
DRIP,ok,7,,,3
DRIV,ok,7,,,3
DRN,ok,7,,,3
DRV,ok,7,,,3
DUST,ok,7,,,3
DVY,ok,7,,,3
DXJ,ok,7,,,3
DXJS,ok,7,,,3
EBIZ,ok,7,,,3
EBND,ok,7,,,3
EDC,ok,7,,,3
HEAL,ok,7,,,3
EDV,ok,7,,,3
EDZ,ok,7,,,3
EEM,ok,7,,,3
EEMS,ok,7,,,3
EFIV,ok,7,,,3
EIDO,ok,7,,,3
EIPI,ok,7,,,3
ELD,ok,7,,,3
EMB,ok,7,,,3
EMBD,ok,7,,,3
EMLC,ok,7,,,3
EMLP,ok,7,,,3
EPHE,ok,7,,,3
EPI,ok,7,,,3
EPOL,ok,7,,,3
EPP,ok,7,,,3
ERX,ok,7,,,3
ERY,ok,7,,,3
ESGD,ok,7,,,3
ESGE,ok,7,,,3
ESGU,ok,7,,,3
EUDG,ok,7,,,3
EWG,ok,7,,,3
EWJ,ok,7,,,3
EWM,ok,7,,,3
EWS,ok,7,,,3
EWT,ok,7,,,3
EWW,ok,7,,,3
EWY,ok,7,,,3
EWZ,ok,7,,,3
EXI,ok,7,,,3
EZA,ok,7,,,3
FAN,ok,7,,,3
FAS,ok,7,,,3
FAZ,ok,7,,,3
FBT,ok,7,,,3
FCVT,ok,7,,,3
FDD,ok,7,,,4
FDL,ok,7,,,4
FDM,ok,7,,,4
FDN,ok,7,,,4
FDNI,ok,7,,,4
FEZ,ok,7,,,4
FEPI,ok,7,,,4
FGD,ok,7,,,4
FID,ok,7,,,4
FINX,ok,7,,,4
FIW,ok,7,,,4
FNGG,ok,7,,,4
FIXD,ok,7,,,4
FLOW,ok,7,,,4
FLRN,ok,7,,,4
FPE,ok,7,,,4
FPX,ok,7,,,4
FRI,ok,7,,,4
FPXI,ok,7,,,4
FSIG,ok,7,,,4
FTCS,ok,7,,,4
FTGC,ok,7,,,4
FTHI,ok,7,,,4
FTLS,ok,7,,,4
FTSL,ok,7,,,4
FTSM,ok,7,,,4
FTXL,ok,7,,,4
FVD,ok,7,,,4
FXH,ok,7,,,4
FXI,ok,7,,,4
FXL,ok,7,,,4
FXN,ok,7,,,4
FXZ,ok,7,,,4
GAL,ok,7,,,4
GLXU,ok,7,,,4
GDX,ok,7,,,4
GDXJ,ok,7,,,4
GGLL,ok,7,,,4
GGLS,ok,7,,,4
GINN,ok,7,,,4
GLD,ok,7,,,4
GLDM,ok,7,,,4
GLIN,ok,7,,,4
GMF,ok,7,,,4
GNOM,ok,7,,,4
GRID,ok,7,,,4
GUSH,ok,7,,,4
GXIG,ok,7,,,4
IBLC,ok,7,,,4
SMIN,ok,7,,,4
NVDG,ok,7,,,5
ASMG,ok,7,,,5
FAI,ok,7,,,5
FTCB,ok,7,,,5
FEMB,ok,7,,,5
FPEI,ok,7,,,5
MGOV,ok,7,,,5
LGOV,ok,7,,,5
IAUI,ok,7,,,5
JFLI,ok,7,,,5
GXDW,ok,7,,,5
HACK,ok,7,,,5
HAIL,ok,7,,,5
HEDJ,ok,7,,,5
HERO,ok,7,,,5
HEWJ,ok,7,,,5
HEZU,ok,7,,,5
HYDR,ok,7,,,5
HYEM,ok,7,,,5
HYG,ok,7,,,5
HYLS,ok,7,,,5
HYZD,ok,7,,,5
IAU,ok,7,,,5
IAGG,ok,7,,,5
IBB,ok,7,,,5
ICLN,ok,7,,,5
IDEV,ok,7,,,5
ITA,ok,7,,,5
IDHQ,ok,7,,,5
IDX,ok,7,,,5
IEF,ok,7,,,5
IEV,ok,7,,,5
IFGL,ok,7,,,5
IGF,ok,7,,,5
IGIB,ok,7,,,5
IGOV,ok,7,,,5
IGSB,ok,7,,,5
IHY,ok,7,,,5
IJH,ok,7,,,5
IJR,ok,7,,,5
ILF,ok,7,,,5
ILDR,ok,7,,,5
INDL,ok,7,,,5
