symbol,status,bar_count,code,message,batch_index
VT,ok,7,,,1
QUAL,ok,7,,,1
AVS,ok,7,,,1
CRWU,ok,7,,,1
DEW,ok,7,,,1
DRV,ok,7,,,1
EPHE,ok,7,,,1
FAS,ok,7,,,1
FRI,ok,7,,,1
GGLS,ok,7,,,1
JFLI,ok,7,,,2
IEF,ok,7,,,2
IXG,ok,7,,,2
KMLI,ok,7,,,2
MOO,ok,7,,,2
PAVE,ok,7,,,2
QQQU,ok,7,,,2
RYLD,ok,7,,,2
SOXS,ok,7,,,2
SPXL,ok,7,,,2
TSLL,ok,7,,,3
VCSH,ok,7,,,3
VOOV,ok,7,,,3
WOOD,ok,7,,,3
NVD,ok,7,,,3
BUFR,ok,7,,,3
BABX,ok,7,,,3
KPDD,ok,7,,,3
COIG,ok,7,,,3
UOBA,no_bars,0,YAHOO-NO-BARS,Yahoo returned no OHLCV bars for this symbol.,3
