symbol,canonical_symbol,name,asset_type,market,metadata_source,yahoo_symbol,status,code,reason,recommended_action,policy_allowed,complexity,theme,is_leveraged,is_inverse,message
ATMC,ATMC,Alphatime Acquisition Corp アルファタイム アクイジション,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
AVGR,AVGR,Avinger Inc アビンジャー,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
BRKB,BRK-B,Berkshire Hathaway,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,resolved_by_symbol_alias,refresh_coverage_with_canonical_symbol,true,standard,financial,false,false,Yahoo returned no OHLCV bars for this symbol.
CTRA,CTRA,Coterra Energy Inc コテラ エナジー,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,energy,false,false,Yahoo returned no OHLCV bars for this symbol.
DAWN,DAWN,Day One Biopharmaceuticals Inc デイ ワン バイオファーマシューティカルズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,healthcare,false,false,Yahoo returned no OHLCV bars for this symbol.
DYCQ,DYCQ,Dt Cloud Acquisition Corp Dt クラウド アクイジション,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
FFWM,FFWM,First Foundation Inc ファースト ファンデーション,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,financial,false,false,Yahoo returned no OHLCV bars for this symbol.
FOLD,FOLD,Amicus Therapeutics アミカス セラピューティクス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,healthcare,false,false,Yahoo returned no OHLCV bars for this symbol.
GLDD,GLDD,Great Lakes Dredge & Dock Co グレート レークス ドレッジ アンド ドック,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
HOLX,HOLX,Hologic ホロジック,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,healthcare,false,false,Yahoo returned no OHLCV bars for this symbol.
HYZN,HYZN,Hyzon Motors Inc ハイゾン モーターズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
KZR,KZR,Kezar Life Sciences Inc ケザー ライフ サイエンシズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,healthcare,false,false,Yahoo returned no OHLCV bars for this symbol.
MCAA,MCAA,Mountain & Co1 Acquisition Corp マウンテン アンド コー1 アクイジション,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
MGIC,MGIC,Magic Software Enterprises Ltd マジック ソフトウェア エンタープライゼズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
ONCT,ONCT,Oncternal Therapeutics Inc オンターナル セラピューティクス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
PIXY,PIXY,ShiftPixy Inc シフトピクシー,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
PME,PME,Pingtan Marine Enterprise Ltd ピンタン マリン エンタープライズ,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
PRLH,PRLH,Pearl Holdings Acquisition Corp A パール ホールディングス アクイジション A,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
ROSS,ROSS,Ross Acquisition Corp2 A ロス アクイジション コープ2 A,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
SEE,SEE,Sealed Air シールド エアー,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,consumer,false,false,Yahoo returned no OHLCV bars for this symbol.
SEMR,SEMR,SEMrush Holdings Inc A セムラッシュ ホールディングス A,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,technology,false,false,Yahoo returned no OHLCV bars for this symbol.
SWKH,SWKH,SWK Holdings Corporation ＳＷＫホールディングス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,financial,false,false,Yahoo returned no OHLCV bars for this symbol.
UDMY,UDMY,Udemy Inc ユーデミー,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,consumer,false,false,Yahoo returned no OHLCV bars for this symbol.
UHALB,UHAL-B,U Haul Holding Co Non Voting U ホール ホールディング 無議決権,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,resolved_by_symbol_alias,refresh_coverage_with_canonical_symbol,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
VERO,VERO,Venus Concept Inc ヴィーナス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,healthcare,false,false,Yahoo returned no OHLCV bars for this symbol.
VSTA,VSTA,Vasta Platform Limited バスタ プラットフォーム,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
XTKG,XTKG,X3 Holdings Co Ltd X3 ホールディングス,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,technology,false,false,Yahoo returned no OHLCV bars for this symbol.
ACHL,ACHL,Achilles Therapeutics PLC ADR アチルズ セラピューティクス ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
CUK,CUK,Carnival plc カーニバル,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,consumer,false,false,Yahoo returned no OHLCV bars for this symbol.
EXAI,EXAI,Exscientia Plc ADR エクセンシア ADR,stock,us,yahoo,,no_bars,YAHOO-NO-BARS,no_bars_short_window_or_yahoo_unsupported,review_symbol_status_or_provider_support,true,standard,balanced,false,false,Yahoo returned no OHLCV bars for this symbol.
