symbol,status,bar_count,code,message,batch_index
CSCO,ok,7,,,1
IBM,ok,7,,,1
QCOM,ok,7,,,1
TXN,ok,7,,,1
AMGN,ok,7,,,1
TMO,ok,7,,,1
DHR,ok,7,,,1
CMCSA,ok,7,,,1
ACN,ok,7,,,1
LIN,ok,7,,,1
GE,ok,7,,,1
CAT,ok,7,,,1
DE,ok,7,,,1
HON,ok,7,,,1
RTX,ok,7,,,1
LMT,ok,7,,,1
BA,ok,7,,,1
UPS,ok,7,,,1
LOW,ok,7,,,1
SBUX,ok,7,,,1
TGT,ok,7,,,1
BKNG,ok,7,,,1
ISRG,ok,7,,,1
GILD,ok,7,,,1
AMAT,ok,7,,,1
MU,ok,7,,,1
PANW,ok,7,,,1
INTU,ok,7,,,1
A,ok,7,,,1
AA,ok,7,,,1
AAL,ok,7,,,1
AAME,ok,7,,,1
AAMI,ok,7,,,1
AAOI,ok,7,,,1
AAON,ok,7,,,1
AAP,ok,7,,,1
ABCB,ok,7,,,1
ABCL,ok,7,,,1
ABEO,ok,7,,,1
ABG,ok,7,,,1
ABM,ok,7,,,1
ABOS,ok,7,,,1
ABSI,ok,7,,,1
ABT,ok,7,,,1
ABTC,ok,7,,,1
ABTS,ok,7,,,1
ABUS,ok,7,,,1
ABVC,ok,7,,,1
ABVE,ok,7,,,1
ABX,ok,7,,,1
ACA,ok,7,,,2
ACAD,ok,7,,,2
ACB,ok,7,,,2
ACCO,ok,7,,,2
ACCS,ok,7,,,2
ACDC,ok,7,,,2
ACEL,ok,7,,,2
ACET,ok,7,,,2
ACGL,ok,7,,,2
ACH,ok,7,,,2
ACHC,ok,7,,,2
ACHR,ok,7,,,2
ACHV,ok,7,,,2
ACI,ok,7,,,2
ACIC,ok,7,,,2
ACIU,ok,7,,,2
ACIW,ok,7,,,2
ACLS,ok,7,,,2
ACLX,ok,1,,,2
ACM,ok,7,,,2
ACMR,ok,7,,,2
ACNB,ok,7,,,2
ACNT,ok,7,,,2
ACRS,ok,7,,,2
ACRV,ok,7,,,2
ACTG,ok,7,,,2
ACU,ok,7,,,2
ACVA,ok,7,,,2
ACXP,ok,7,,,2
AD,ok,7,,,2
ADCT,ok,7,,,2
ADEA,ok,7,,,2
ADGM,ok,7,,,2
ADI,ok,7,,,2
ADIL,ok,7,,,2
ADM,ok,7,,,2
ADMA,ok,7,,,2
ADNT,ok,7,,,2
ADP,ok,7,,,2
ADPT,ok,7,,,2
ADSE,ok,7,,,2
ADSK,ok,7,,,2
ADT,ok,7,,,2
ADTN,ok,7,,,2
ADTX,ok,7,,,2
ADUR,ok,7,,,2
ADUS,ok,7,,,2
ADV,ok,7,,,2
AEBI,ok,7,,,2
AEE,ok,7,,,2
AEHL,ok,7,,,3
AEHR,ok,7,,,3
AEI,ok,7,,,3
AEIS,ok,7,,,3
AEM,ok,7,,,3
AEMD,ok,7,,,3
AENT,ok,7,,,3
AEO,ok,7,,,3
AEON,ok,7,,,3
AEP,ok,7,,,3
AER,ok,7,,,3
AERO,ok,7,,,3
AERT,ok,7,,,3
AES,ok,7,,,3
AESI,ok,7,,,3
AEVA,ok,7,,,3
AEYE,ok,7,,,3
AFBI,ok,7,,,3
AFG,ok,7,,,3
AFJK,ok,7,,,3
AFL,ok,7,,,3
AFRI,ok,7,,,3
AFRM,ok,7,,,3
AFYA,ok,7,,,3
AG,ok,7,,,3
AGAE,ok,7,,,3
AGBK,ok,7,,,3
AGCO,ok,7,,,3
AGEN,ok,7,,,3
AGI,ok,7,,,3
AGIG,ok,7,,,3
AGIO,ok,7,,,3
AGL,ok,7,,,3
AGM,ok,7,,,3
AGMH,ok,7,,,3
AGO,ok,7,,,3
AGPU,ok,7,,,3
AGRO,ok,7,,,3
AGX,ok,7,,,3
AGYS,ok,7,,,3
AHCO,ok,7,,,3
AI,ok,7,,,3
AIFF,ok,7,,,3
AIFU,ok,7,,,3
AIG,ok,7,,,3
AIIO,ok,7,,,3
