symbol,market,reason,manifest
ADC.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
AME.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
AMV.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
API.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
APS.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BBS.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BCC.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BKC.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BTS.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BVS.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CAN.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CAP.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CKV.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CST.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CTB.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
DHT.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
DXP.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
EID.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
GLT.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
HAD.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
HAT.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
HBS.VN,vietnam,provider_returned_no_metadata,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
AAM.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
ABT.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
ACL.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
ADC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
AME.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
AMV.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
APG.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
API.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
APS.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
ASP.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BBS.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BCC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BCE.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BKC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BMC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BTS.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BTT.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
BVS.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CAN.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CAP.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CCI.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CDC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CKV.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CLC.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CMX.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
COM.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CST.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CTB.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
CTI.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
DBT.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
DC4.VN,vietnam,metadata_fetched_but_no_blank_target_changed,data/marketdata/refresh_runs/weak-asia_20260626_045039/chunk_0001.json
