symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,dividend_yield_pct,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,per,pbr,roe_pct,consensus_rating,forecast_agreement,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,trust_fee_pct,aum,nisa_tsumitate_eligible,nisa_growth_eligible,installment_available,management_style,distribution_policy,yahoo_symbol,yahoo_symbol_note,yahoo_symbol_checked_at,yahoo_symbol_status,sector_gics,industry_gics,subindustry_gics,tse_33_industry,topix_17,smai_theme_tags,theme_confidence,theme_source,market_cap,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,average_volume,asset_class,region_exposure,is_hedged,per_source,per_as_of,per_quality,pbr_source,pbr_as_of,pbr_quality,roe_pct_source,roe_pct_as_of,roe_pct_quality,dividend_yield_pct_source,dividend_yield_pct_as_of,dividend_yield_pct_quality,market_cap_tier_source,market_cap_tier_as_of,market_cap_tier_quality,market_cap_source,market_cap_as_of,market_cap_quality,expense_ratio_pct_source,expense_ratio_pct_as_of,expense_ratio_pct_quality,aum_source,aum_as_of,aum_quality,average_volume_source,average_volume_as_of,average_volume_quality,data_quality_reasons,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source
7203.T,Toyota Motor,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,automotive,consumer,トヨタ 自動車 toyota,high_dividend,3.12,mega,,,standard,"balanced,lower_risk,automotive,consumer,high_dividend",9.82,0.95,10.23,3.4,HIGH,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,7203.T,,2026-06-25,generated,,,,輸送用機器,自動車・輸送機,"automotive,consumer,high_dividend",0.90,rule_backfill_v2_from_smai_theme_tags,31976763424768,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,25289211,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,7203,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
9983.T,Fast Retailing,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,consumer,consumer,ファーストリテイリング ユニクロ,dividend,0.7,mega,,,standard,"balanced,consumer",51.78,9.39,20.62,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,9983.T,,2026-06-25,generated,,,,小売業,小売,consumer,0.80,rule_backfill_v1,25866589437952,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,1149847,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,9983,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6758.T,Sony Group,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,technology,technology,ソニー sony,dividend,0.73,mega,,,standard,"balanced,technology",20.87,2.6,12.37,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6758.T,,2026-06-25,generated,,,,電気機器,電機・精密,technology,0.80,rule_backfill_v1,18829904183296,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,21189411,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6758,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
8306.T,Mitsubishi UFJ Financial Group,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,bank,financial,三菱UFJ 銀行 金融,dividend,2.87,mega,,,standard,"balanced,bank,financial",14.24,1.53,11.91,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,8306.T,,2026-06-25,generated,,,,銀行業,銀行,"bank,financial",0.92,rule_sprint_v3_specific_theme_from_official_industry,36458127687680,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,41017513,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,8306,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
9432.T,Nippon Telegraph and Telephone,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,communication,communication,NTT 日本電信電話 通信 高配当,high_dividend,3.55,mega,,,standard,"dividend,lower_risk,communication,high_dividend",11.79,1.24,10.04,3.1,HIGH,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,9432.T,,2026-06-25,generated,,,,情報・通信業,情報通信・サービスその他,"communication,high_dividend",0.80,rule_backfill_v1,11708717334528,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,225650377,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,9432,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6861.T,Keyence,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,technology,technology,キーエンス,dividend,0.69,mega,,,standard,"balanced,technology",43.92,5.63,22.0,3.4,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6861.T,,2026-06-25,generated,,,,電気機器,電機・精密,technology,0.80,rule_backfill_v1,18764168953856,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,803516,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6861,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
8035.T,Tokyo Electron,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,semiconductor,technology,東京エレクトロン 半導体,dividend,1.2,mega,,,standard,"growth,semiconductor,technology",42.83,11.79,29.27,4.0,MEDIUM,OK,HIGH,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,8035.T,,2026-06-25,generated,,,,電気機器,電機・精密,"semiconductor,technology",0.90,rule_backfill_v2_from_smai_theme_tags,34268776497152,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,3663293,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,8035,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6098.T,Recruit Holdings,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,communication,communication,リクルート,dividend,0.24,mega,,,standard,"balanced,communication",31.95,9.8,30.83,3.4,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6098.T,,2026-06-25,generated,,,,サービス業,情報通信・サービスその他,communication,0.80,rule_backfill_v1,15647642746880,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,6099508,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6098,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4063.T,Shin-Etsu Chemical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,materials,materials,信越化学,dividend,1.37,mega,,,standard,"balanced,materials",30.66,3.21,10.68,3.4,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4063.T,,2026-06-25,generated,,,,化学,素材・化学,materials,0.86,rule_sprint_v3_representative_theme_from_smai_tags,13295773810688,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,8218870,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4063,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6501.T,Hitachi,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,industrial,industrial,日立,dividend,0.97,mega,,,standard,"balanced,industrial",28.93,3.53,13.3,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6501.T,,2026-06-25,generated,,,,電気機器,電機・精密,industrial,0.86,rule_sprint_v3_representative_theme_from_smai_tags,20478399873024,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,14056231,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6501,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
