symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
1308.T,上場インデックスファンドTOPIX,jp,etf,JPY,index,index,topix,0.047,beginner,"low_cost,balanced",上場インデックスファンドTOPIX TOPIX,false,false,
1348.T,ＭＡＸＩＳ トピックス上場投信,jp,etf,JPY,index,index,topix,0.06,beginner,"low_cost,balanced",ＭＡＸＩＳ トピックス上場投信 TOPIX,false,false,
1473.T,Ｏｎｅ ＥＴＦ トピックス,jp,etf,JPY,index,index,topix,0.045,beginner,"low_cost,balanced",Ｏｎｅ ＥＴＦ トピックス TOPIX,false,false,
2557.T,ＳＭＤＡＭ トピックス上場投信,jp,etf,JPY,index,index,topix,0.074,beginner,"low_cost,balanced",ＳＭＤＡＭ トピックス上場投信 TOPIX,false,false,
1305.T,iFreeETF TOPIX（年1回決算型）,jp,etf,JPY,index,index,topix,0.06,beginner,"low_cost,balanced",iFreeETF TOPIX（年1回決算型） ＴＯＰＩＸ（配当込み）,false,false,
1475.T,iシェアーズ・コア TOPIX ETF,jp,etf,JPY,index,index,topix,0.045,beginner,"low_cost,balanced",iシェアーズ・コア TOPIX ETF ＴＯＰＩＸ（配当込み）,false,false,
2625.T,iFreeETF TOPIX（年4回決算型）,jp,etf,JPY,index,index,topix,0.06,beginner,"low_cost,balanced",iFreeETF TOPIX（年4回決算型） ＴＯＰＩＸ（配当込み）,false,false,
1306.T,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信,jp,etf,JPY,index,index,topix,0.0499,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信 TOPIX (配当込み),false,false,
2524.T,NZAM 上場投信 TOPIX,jp,etf,JPY,index,index,topix,0.055,beginner,"low_cost,balanced",NZAM 上場投信 TOPIX 配当込み TOPIX,false,false,
1330.T,上場インデックスファンド225,jp,etf,JPY,index,index,,0.077,beginner,"low_cost,balanced",上場インデックスファンド225 日経平均株価,false,false,
1346.T,ＭＡＸＩＳ 日経２２５上場投信,jp,etf,JPY,index,index,,0.12,beginner,"low_cost,balanced",ＭＡＸＩＳ 日経２２５上場投信 日経平均株価,false,false,
1578.T,上場インデックスファンド日経225（ミニ）,jp,etf,JPY,index,index,nikkei225,0.225,beginner,"low_cost,balanced",上場インデックスファンド日経225（ミニ） 日経平均株価,false,false,
1369.T,Ｏｎｅ ＥＴＦ 日経２２５,jp,etf,JPY,index,index,,0.045,beginner,"low_cost,balanced",Ｏｎｅ ＥＴＦ 日経２２５ 日経平均株価,false,false,
1397.T,ＳＭＤＡＭ 日経２２５上場投信,jp,etf,JPY,index,index,,0.14,beginner,"low_cost,balanced",ＳＭＤＡＭ 日経２２５上場投信 日経平均株価,false,false,
1320.T,iFreeETF 日経225（年1回決算型）,jp,etf,JPY,index,index,nikkei225,0.12,beginner,"low_cost,balanced",iFreeETF 日経225（年1回決算型） 日経平均トータルリターン・インデックス,false,false,
1321.T,ＮＥＸＴ ＦＵＮＤＳ 日経225連動型上場投信,jp,etf,JPY,index,index,nikkei225,0.0817,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ 日経225連動型上場投信 日経平均トータルリターン・インデックス,false,false,
1329.T,iシェアーズ・コア 日経225 ETF,jp,etf,JPY,index,index,nikkei225,0.045,beginner,"low_cost,balanced",iシェアーズ・コア 日経225 ETF 日経平均トータルリターン・インデックス,false,false,
2525.T,NZAM 上場投信 日経225,jp,etf,JPY,index,index,nikkei225,0.09,beginner,"low_cost,balanced",NZAM 上場投信 日経225 日経平均トータルリターン・インデックス,false,false,
