symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
1540.T,純金上場信託（現物国内保管型）,jp,etf,JPY,commodity,index,,,beginner,balanced,純金上場信託（現物国内保管型）,false,false,
1541.T,純プラチナ上場信託（現物国内保管型）,jp,etf,JPY,commodity,index,,,beginner,balanced,純プラチナ上場信託（現物国内保管型）,false,false,
1542.T,純銀上場信託（現物国内保管型）,jp,etf,JPY,commodity,index,,,beginner,balanced,純銀上場信託（現物国内保管型）,false,false,
1543.T,純パラジウム上場信託（現物国内保管型）,jp,etf,JPY,commodity,index,,,beginner,balanced,純パラジウム上場信託（現物国内保管型）,false,false,
2042.T,NEXT NOTES 東証グロース市場250 ETN,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 東証グロース市場250 ETN,false,false,
2043.T,NEXT NOTES STOXX アセアン好配当50（円、ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,NEXT NOTES STOXX アセアン好配当50（円、ネットリターン）ETN,false,false,
2044.T,NEXT NOTES S&P500 配当貴族（ネットリターン） ＥＴＮ,jp,etf,JPY,index,index,sp500,,etn,,NEXT NOTES S&P500 配当貴族（ネットリターン） ＥＴＮ,false,false,
2045.T,NEXT NOTES S&Pシンガポールリート（ネットリターン）ＥＴＮ,jp,etf,JPY,reit,real_estate,,,etn,,NEXT NOTES S&Pシンガポールリート（ネットリターン）ＥＴＮ,false,false,
2048.T,NEXT NOTES 野村日本株高配当70（ドルヘッジ、ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 野村日本株高配当70（ドルヘッジ、ネットリターン）ETN,false,false,
2050.T,NEXT NOTES ニッチトップ 中小型日本株（ネットリターン）ETN,jp,etf,JPY,index,index,small_us,,etn,,NEXT NOTES ニッチトップ 中小型日本株（ネットリターン）ETN,false,false,
2065.T,NEXT NOTES 日本株配当貴族（ドルヘッジ、ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 日本株配当貴族（ドルヘッジ、ネットリターン）ETN,false,false,
2066.T,NEXT NOTES 東証REIT（ドルヘッジ、ネットリターン）ETN,jp,etf,JPY,reit,real_estate,,,etn,,NEXT NOTES 東証REIT（ドルヘッジ、ネットリターン）ETN,false,false,
2067.T,NEXT NOTES 野村ＡＩ ビジネス７０（ネットリターン）ＥＴＮ,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 野村ＡＩ ビジネス７０（ネットリターン）ＥＴＮ,false,false,
2068.T,NEXT NOTES 高ベータ３０（ネットリターン）ＥＴＮ,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 高ベータ３０（ネットリターン）ＥＴＮ,false,false,
2069.T,NEXT NOTES 低ベータ５０（ネットリターン）ＥＴＮ,jp,etf,JPY,index,index,,,etn,,NEXT NOTES 低ベータ５０（ネットリターン）ＥＴＮ,false,false,
2070.T,スマートESG30 女性活躍（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,スマートESG30 女性活躍（ネットリターン）ETN,false,false,
2071.T,スマートESG30 総合（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,スマートESG30 総合（ネットリターン）ETN,false,false,
2072.T,トップシェアインデックス（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,トップシェアインデックス（ネットリターン）ETN,false,false,
2073.T,スマート ESG30 低カーボンリスク（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,スマート ESG30 低カーボンリスク（ネットリターン）ETN,false,false,
1326.T,SPDR®ゴールド・シェア,jp,etf,JPY,commodity,index,,,beginner,balanced,SPDR®ゴールド・シェア,false,false,
1557.T,State Street® SPDR® S&P 500® ETF,jp,etf,JPY,index,index,sp500,,beginner,"low_cost,balanced",State Street® SPDR® S&P 500® ETF,false,false,
162A.T,AI セレクトメガトレンド 日本株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,AI セレクトメガトレンド 日本株（ネットリターン）ETN,false,false,
163A.T,半導体フォーカス 日本株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,半導体フォーカス 日本株（ネットリターン）ETN,false,false,
345A.T,高配当成長 日本株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,高配当成長 日本株（ネットリターン）ETN,false,false,
497A.T,インバウンド消費関連 日本株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,インバウンド消費関連 日本株（ネットリターン）ETN,false,false,
498A.T,防衛・航空宇宙 欧州株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,防衛・航空宇宙 欧州株（ネットリターン）ETN,false,false,
499A.T,ラグジュアリー厳選10 欧州株（ネットリターン）ETN,jp,etf,JPY,index,index,,,etn,,ラグジュアリー厳選10 欧州株（ネットリターン）ETN,false,false,
