code,security_name,market,asset_type,currency,theme,sector,tags,aliases,market_cap_tier,source_market_segment,source_industry_33,source_industry_17,source_scale_category
1301,極洋,jp,stock,JPY,consumer,consumer,balanced,極洋 プライム（内国株式） 水産・農林業 食品,small,プライム（内国株式）,水産・農林業,食品,TOPIX Small 1
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,jp,stock,JPY,healthcare,healthcare,growth,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ グロース（内国株式） 医薬品 医薬品,,グロース（内国株式）,医薬品,医薬品,-
1332,ニッスイ,jp,stock,JPY,consumer,consumer,balanced,ニッスイ プライム（内国株式） 水産・農林業 食品,mid,プライム（内国株式）,水産・農林業,食品,TOPIX Mid400
1333,Ｕｍｉｏｓ,jp,stock,JPY,consumer,consumer,balanced,Ｕｍｉｏｓ プライム（内国株式） 水産・農林業 食品,mid,プライム（内国株式）,水産・農林業,食品,TOPIX Mid400
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,jp,stock,JPY,technology,technology,growth,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ グロース（内国株式） 情報・通信業 情報通信・サービスその他,,グロース（内国株式）,情報・通信業,情報通信・サービスその他,-
1375,ユキグニファクトリー,jp,stock,JPY,consumer,consumer,balanced,ユキグニファクトリー プライム（内国株式） 水産・農林業 食品,small,プライム（内国株式）,水産・農林業,食品,TOPIX Small 2
1376,カネコ種苗,jp,stock,JPY,consumer,consumer,balanced,カネコ種苗 スタンダード（内国株式） 水産・農林業 食品,small,スタンダード（内国株式）,水産・農林業,食品,TOPIX Small 2
1377,サカタのタネ,jp,stock,JPY,consumer,consumer,balanced,サカタのタネ プライム（内国株式） 水産・農林業 食品,small,プライム（内国株式）,水産・農林業,食品,TOPIX Small 1
1379,ホクト,jp,stock,JPY,consumer,consumer,balanced,ホクト プライム（内国株式） 水産・農林業 食品,small,プライム（内国株式）,水産・農林業,食品,TOPIX Small 2
137A,Ｃｏｃｏｌｉｖｅ,jp,stock,JPY,technology,technology,growth,Ｃｏｃｏｌｉｖｅ グロース（内国株式） 情報・通信業 情報通信・サービスその他,,グロース（内国株式）,情報・通信業,情報通信・サービスその他,-
1380,秋川牧園,jp,stock,JPY,consumer,consumer,balanced,秋川牧園 スタンダード（内国株式） 水産・農林業 食品,,スタンダード（内国株式）,水産・農林業,食品,-
1381,アクシーズ,jp,stock,JPY,consumer,consumer,balanced,アクシーズ スタンダード（内国株式） 水産・農林業 食品,,スタンダード（内国株式）,水産・農林業,食品,-
1382,ホーブ,jp,stock,JPY,consumer,consumer,balanced,ホーブ スタンダード（内国株式） 水産・農林業 食品,,スタンダード（内国株式）,水産・農林業,食品,-
1383,ベルグアース,jp,stock,JPY,consumer,consumer,balanced,ベルグアース スタンダード（内国株式） 水産・農林業 食品,,スタンダード（内国株式）,水産・農林業,食品,-
1384,ホクリヨウ,jp,stock,JPY,consumer,consumer,balanced,ホクリヨウ スタンダード（内国株式） 水産・農林業 食品,,スタンダード（内国株式）,水産・農林業,食品,-
138A,光フードサービス,jp,stock,JPY,consumer,consumer,balanced,光フードサービス グロース（内国株式） 小売業 小売,,グロース（内国株式）,小売業,小売,-
1401,エムビーエス,jp,stock,JPY,balanced,industrial,balanced,エムビーエス グロース（内国株式） 建設業 建設・資材,,グロース（内国株式）,建設業,建設・資材,-
1407,ウエストホールディングス,jp,stock,JPY,balanced,industrial,balanced,ウエストホールディングス スタンダード（内国株式） 建設業 建設・資材,,スタンダード（内国株式）,建設業,建設・資材,-
1414,ショーボンドホールディングス,jp,stock,JPY,balanced,industrial,balanced,ショーボンドホールディングス プライム（内国株式） 建設業 建設・資材,mid,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400
1417,ミライト・ワン,jp,stock,JPY,balanced,industrial,balanced,ミライト・ワン プライム（内国株式） 建設業 建設・資材,mid,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400
1418,インターライフホールディングス,jp,stock,JPY,balanced,industrial,balanced,インターライフホールディングス スタンダード（内国株式） 建設業 建設・資材,,スタンダード（内国株式）,建設業,建設・資材,-
1419,タマホーム,jp,stock,JPY,balanced,industrial,balanced,タマホーム プライム（内国株式） 建設業 建設・資材,small,プライム（内国株式）,建設業,建設・資材,TOPIX Small 1
141A,トライアルホールディングス,jp,stock,JPY,consumer,consumer,balanced,トライアルホールディングス グロース（内国株式） 小売業 小売,,グロース（内国株式）,小売業,小売,-
1420,サンヨーホームズ,jp,stock,JPY,balanced,industrial,balanced,サンヨーホームズ スタンダード（内国株式） 建設業 建設・資材,,スタンダード（内国株式）,建設業,建設・資材,-
1429,日本アクア,jp,stock,JPY,balanced,industrial,balanced,日本アクア プライム（内国株式） 建設業 建設・資材,,プライム（内国株式）,建設業,建設・資材,-
142A,ジンジブ,jp,stock,JPY,consumer,consumer,balanced,ジンジブ グロース（内国株式） サービス業 情報通信・サービスその他,,グロース（内国株式）,サービス業,情報通信・サービスその他,-
1430,ファーストコーポレーション,jp,stock,JPY,balanced,industrial,balanced,ファーストコーポレーション スタンダード（内国株式） 建設業 建設・資材,,スタンダード（内国株式）,建設業,建設・資材,-
1431,Ｌｉｂ　Ｗｏｒｋ,jp,stock,JPY,balanced,industrial,balanced,Ｌｉｂ　Ｗｏｒｋ グロース（内国株式） 建設業 建設・資材,,グロース（内国株式）,建設業,建設・資材,-
