symbol,name,market,asset_type,currency,theme,sector,tags,aliases,source_listing_date,source_settlement_months
401A.T,霞ヶ関ホテルリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",霞ヶ関ホテルリート投資法人 投資証券 2025/08/13 1月末 7月末,2025/08/13,1月末 7月末
2989.T,東海道リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",東海道リート投資法人 投資証券 2021/06/22 1月末 7月末,2021/06/22,1月末 7月末
2979.T,SOSiLA物流リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",SOSiLA物流リート投資法人 投資証券 2019/12/10 5月末 11月末,2019/12/10,5月末 11月末
2972.T,サンケイリアルエステート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",サンケイリアルエステート投資法人 投資証券 2019/03/12 2月末 8月末,2019/03/12,2月末 8月末
2971.T,エスコンジャパンリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",エスコンジャパンリート投資法人 投資証券 2019/02/13 1月末 7月末,2019/02/13,1月末 7月末
3492.T,ＭＩＲＡＲＴＨ不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ＭＩＲＡＲＴＨ不動産投資法人 投資証券 2018/07/27 2月末 8月末,2018/07/27,2月末 8月末
3488.T,セントラル・リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",セントラル・リート投資法人 投資証券 2018/02/15 2月末 8月末,2018/02/15,2月末 8月末
3487.T,ＣＲＥロジスティクスファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ＣＲＥロジスティクスファンド投資法人 投資証券 2018/02/07 6月末 12月末,2018/02/07,6月末 12月末
3481.T,三菱地所物流リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",三菱地所物流リート投資法人 投資証券 2017/09/14 2月末 8月末,2017/09/14,2月末 8月末
3476.T,投資法人みらい 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",投資法人みらい 投資証券 2016/12/16 4月末 10月末,2016/12/16,4月末 10月末
3472.T,日本ホテル＆レジデンシャル投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本ホテル＆レジデンシャル投資法人 投資証券 2016/08/31 5月末 11月末,2016/08/31,5月末 11月末
3471.T,三井不動産ロジスティクスパーク投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",三井不動産ロジスティクスパーク投資法人 投資証券 2016/08/02 1月末 7月末,2016/08/02,1月末 7月末
3470.T,マリモ地方創生リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",マリモ地方創生リート投資法人 投資証券 2016/07/29 6月末 12月末,2016/07/29,6月末 12月末
3468.T,スターアジア不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",スターアジア不動産投資法人 投資証券 2016/04/20 1月末 7月末,2016/04/20,1月末 7月末
3466.T,ラサールロジポート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ラサールロジポート投資法人 投資証券 2016/02/17 2月末 8月末,2016/02/17,2月末 8月末
3463.T,いちごホテルリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",いちごホテルリート投資法人 投資証券 2015/11/30 1月末 7月末,2015/11/30,1月末 7月末
3462.T,野村不動産マスターファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",野村不動産マスターファンド投資法人 投資証券 2015/10/02 2月末 8月末,2015/10/02,2月末 8月末
3459.T,サムティ・レジデンシャル投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",サムティ・レジデンシャル投資法人 投資証券 2015/06/30 1月末 7月末,2015/06/30,1月末 7月末
3455.T,ヘルスケア＆メディカル投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ヘルスケア＆メディカル投資法人 投資証券 2015/03/19 1月末 7月末,2015/03/19,1月末 7月末
3309.T,積水ハウス・リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",積水ハウス・リート投資法人 投資証券 2014/12/03 4月末 10月末,2014/12/03,4月末 10月末
3451.T,トーセイ・リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",トーセイ・リート投資法人 投資証券 2014/11/27 4月末 10月末,2014/11/27,4月末 10月末
3296.T,日本リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本リート投資法人 投資証券 2014/04/24 6月末 12月末,2014/04/24,6月末 12月末
3295.T,ヒューリックリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ヒューリックリート投資法人 投資証券 2014/02/07 2月末 8月末,2014/02/07,2月末 8月末
3292.T,イオンリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",イオンリート投資法人 投資証券 2013/11/22 1月末 7月末,2013/11/22,1月末 7月末
3290.T,Ｏｎｅリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",Ｏｎｅリート投資法人 投資証券 2013/10/09 2月末 8月末,2013/10/09,2月末 8月末
3287.T,星野リゾート・リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",星野リゾート・リート投資法人 投資証券 2013/07/12 4月末 10月末,2013/07/12,4月末 10月末
3283.T,日本プロロジスリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本プロロジスリート投資法人 投資証券 2013/02/14 5月末 11月末,2013/02/14,5月末 11月末
3282.T,コンフォリア・レジデンシャル投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",コンフォリア・レジデンシャル投資法人 投資証券 2013/02/06 1月末 7月末,2013/02/06,1月末 7月末
3281.T,ＧＬＰ投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ＧＬＰ投資法人 投資証券 2012/12/21 2月末 8月末,2012/12/21,2月末 8月末
3279.T,アクティビア・プロパティーズ投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",アクティビア・プロパティーズ投資法人 投資証券 2012/06/13 5月末 11月末,2012/06/13,5月末 11月末
8979.T,スターツプロシード投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",スターツプロシード投資法人 投資証券 2010/07/27 4月末 10月末,2010/07/27,4月末 10月末
3269.T,アドバンス・レジデンス投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",アドバンス・レジデンス投資法人 投資証券 2010/03/02 1月末 7月末,2010/03/02,1月末 7月末
3249.T,産業ファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",産業ファンド投資法人 投資証券 2007/10/18 1月末 7月末,2007/10/18,1月末 7月末
3234.T,森ヒルズリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",森ヒルズリート投資法人 投資証券 2006/11/30 1月末 7月末,2006/11/30,1月末 7月末
3226.T,三井不動産アコモデーションファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",三井不動産アコモデーションファンド投資法人 投資証券 2006/08/04 2月末 8月末,2006/08/04,2月末 8月末
8963.T,インヴィンシブル投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",インヴィンシブル投資法人 投資証券 2006/08/01 6月末 12月末,2006/08/01,6月末 12月末
