symbol,nisa_category,nisa_growth_eligible,nisa_tsumitate_eligible
1498.T,growth,true,false
1484.T,growth,true,false
1474.T,growth,true,false
1493.T,growth,true,false
1494.T,growth,true,false
2556.T,growth,true,false
1473.T,growth,true,false
2553.T,growth,true,false
1369.T,growth,true,false
2845.T,growth,true,false
2634.T,growth,true,false
2633.T,growth,true,false
2515.T,growth,true,false
2514.T,growth,true,false
2513.T,growth,true,false
2512.T,growth,true,false
2511.T,growth,true,false
2510.T,growth,true,false
2520.T,growth,true,false
2519.T,growth,true,false
2846.T,growth,true,false
2860.T,growth,true,false
2245.T,growth,true,false
2648.T,growth,true,false
2647.T,growth,true,false
2554.T,growth,true,false
2859.T,growth,true,false
2557.T,growth,true,false
1397.T,growth,true,false
2642.T,growth,true,false
3487.T,growth,true,false
3281.T,growth,true,false
3292.T,growth,true,false
3269.T,growth,true,false
3249.T,growth,true,false
8953.T,growth,true,false
2971.T,growth,true,false
3287.T,growth,true,false
8958.T,growth,true,false
8963.T,growth,true,false
8985.T,growth,true,false
8952.T,growth,true,false
3309.T,growth,true,false
8984.T,growth,true,false
3279.T,growth,true,false
3282.T,growth,true,false
9285.T,growth,true,false
3451.T,growth,true,false
3462.T,growth,true,false
8977.T,growth,true,false
3295.T,growth,true,false
3283.T,growth,true,false
8966.T,growth,true,false
3455.T,growth,true,false
3290.T,growth,true,false
3476.T,growth,true,false
8967.T,growth,true,false
3481.T,growth,true,false
8961.T,growth,true,false
1599.T,growth,true,false
2841.T,growth,true,false
2840.T,growth,true,false
2248.T,growth,true,false
2247.T,growth,true,false
1305.T,growth,true,false
2625.T,growth,true,false
1651.T,growth,true,false
2528.T,growth,true,false
1488.T,growth,true,false
1320.T,growth,true,false
2624.T,growth,true,false
1309.T,growth,true,false
1560.T,growth,true,false
1591.T,growth,true,false
2518.T,growth,true,false
1545.T,growth,true,false
1699.T,growth,true,false
1306.T,growth,true,false
1621.T,growth,true,false
1628.T,growth,true,false
1618.T,growth,true,false
1624.T,growth,true,false
1328.T,growth,true,false
1631.T,growth,true,false
1632.T,growth,true,false
1619.T,growth,true,false
1630.T,growth,true,false
1622.T,growth,true,false
1629.T,growth,true,false
1626.T,growth,true,false
1617.T,growth,true,false
1620.T,growth,true,false
1559.T,growth,true,false
1546.T,growth,true,false
1623.T,growth,true,false
1625.T,growth,true,false
1627.T,growth,true,false
1343.T,growth,true,false
1615.T,growth,true,false
1321.T,growth,true,false
1489.T,growth,true,false
2529.T,growth,true,false
1480.T,growth,true,false
1577.T,growth,true,false
1633.T,growth,true,false
1325.T,growth,true,false
1398.T,growth,true,false
8956.T,growth,true,false
