symbol,nisa_category,nisa_growth_eligible,nisa_tsumitate_eligible
1540.T,growth,true,false
1541.T,growth,true,false
1542.T,growth,true,false
1543.T,growth,true,false
2042.T,growth,true,false
2043.T,growth,true,false
2044.T,growth,true,false
2045.T,growth,true,false
2048.T,growth,true,false
2050.T,growth,true,false
2065.T,growth,true,false
2066.T,growth,true,false
2067.T,growth,true,false
2068.T,growth,true,false
2069.T,growth,true,false
2070.T,growth,true,false
2071.T,growth,true,false
2072.T,growth,true,false
2073.T,growth,true,false
1326.T,growth,true,false
1557.T,growth,true,false
162A.T,growth,true,false
163A.T,growth,true,false
345A.T,growth,true,false
497A.T,growth,true,false
498A.T,growth,true,false
499A.T,growth,true,false
