symbol,nisa_category,nisa_growth_eligible,nisa_tsumitate_eligible
7203.T,growth,true,false
9983.T,growth,true,false
6758.T,growth,true,false
8306.T,growth,true,false
9432.T,growth,true,false
8035.T,growth,true,false
8058.T,growth,true,false
8411.T,growth,true,false
AAPL,growth,true,false
MSFT,growth,true,false
NVDA,growth,true,false
GOOGL,growth,true,false
AMZN,growth,true,false
META,growth,true,false
JNJ,growth,true,false
V,growth,true,false
SPY,growth,true,false
QQQ,growth,true,false
VTI,growth,true,false
VOO,growth,true,false
IWM,growth,true,false
1306.T,growth,true,false
1308.T,growth,true,false
1321.T,growth,true,false
1329.T,growth,true,false
1343.T,growth,true,false
1475.T,growth,true,false
1489.T,growth,true,false
1540.T,none,false,false
TQQQ,none,false,false
SQQQ,none,false,false
