symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,source_section,source_market,source_industry,source_description,source_url
00001.HK,CK ハチソン 長江和記実業,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00001;CK ハチソン 長江和記実業;公益事業;港湾事業;小売りを国際展開する;公益;港湾,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924399+00:00,0001.HK,Hong Kong,HKEX,00001,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,公益、港湾,公益事業、港湾事業、小売りを国際展開する,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00002.HK,CLPホールディングス 中電控股,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00002;CLPホールディングス 中電控股;発電及び電力供給。国内及びアジアその他地区の電力プロジェクトへの投資。その他不動産開発;電力・ガス,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924519+00:00,0002.HK,Hong Kong,HKEX,00002,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,発電及び電力供給。国内及びアジアその他地区の電力プロジェクトへの投資。その他不動産開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00003.HK,香港チャイナガス 香港中華煤気,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,utilities,utilities,00003;香港チャイナガス 香港中華煤気;都市ガスの生産;供給及びガス関連事業;電力・ガス,none,,,,standard,utilities,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924588+00:00,0003.HK,Hong Kong,HKEX,00003,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,都市ガスの生産、供給及びガス関連事業,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00004.HK,ワーフ 九龍倉集団,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,telecom,communication,00004;ワーフ 九龍倉集団;不動産;埠頭;運輸;ホテル及び通信サービス;総合,none,,,,standard,communication,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924653+00:00,0004.HK,Hong Kong,HKEX,00004,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,総合,不動産、埠頭、運輸、ホテル及び通信サービス,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00005.HK,HSBC 匯豊控股,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,bank,financial,00005;HSBC 匯豊控股;アジア太平洋地域;ヨーロッパ;南北アメリカ;中東及びアフリカなど世界100カ国以上でビジネスを展開する英国系総合金融グループ;銀行,none,,,,standard,bank,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924709+00:00,0005.HK,Hong Kong,HKEX,00005,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,銀行,アジア太平洋地域、ヨーロッパ、南北アメリカ、中東及びアフリカなど世界100カ国以上でビジネスを展開する英国系総合金融グループ,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00006.HK,パワーアセッツ ホールディングス 電能実業,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,utilities,utilities,00006;パワーアセッツ ホールディングス 電能実業;香港で発電及び電力供給事業を展開;電力・ガス,none,,,,standard,utilities,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924785+00:00,0006.HK,Hong Kong,HKEX,00006,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,香港で発電及び電力供給事業を展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00007.HK,ウィズダム ウェルス リソーシズ 智富資源投資控股集團,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00007;ウィズダム ウェルス リソーシズ 智富資源投資控股集團;石油;天然ガスの採掘;生産。証券;投資ファンドなどの金融商品を対象としたブローカー業務;石油・金融,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924847+00:00,0007.HK,Hong Kong,HKEX,00007,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,石油・金融,石油、天然ガスの採掘、生産。証券、投資ファンドなどの金融商品を対象としたブローカー業務,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00008.HK,PCCW 電訊盈科,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00008;PCCW 電訊盈科;電信;インターネット及びマルチメディアサービス提供。関連器材の販売;レンタル及びその他テクニカルサポートも;通信,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924901+00:00,0008.HK,Hong Kong,HKEX,00008,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,通信,電信、インターネット及びマルチメディアサービス提供。関連器材の販売、レンタル及びその他テクニカルサポートも,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00010.HK,ハンルングループ 恒隆集団,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00010;ハンルングループ 恒隆集団;不動産開発・販売・賃貸。駐車場管理及び不動産管理の他クリーニングサービスも;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.924951+00:00,0010.HK,Hong Kong,HKEX,00010,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・販売・賃貸。駐車場管理及び不動産管理の他クリーニングサービスも,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00012.HK,ヘンダーソンランド 恒基兆業地産,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00012;ヘンダーソンランド 恒基兆業地産;不動産開発・投資・管理;建築・開発計画管理;ホテル経営;百貨店経営;資産投資及びインフラ;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-06-23,2026-06-22T16:51:22.925013+00:00,0012.HK,Hong Kong,HKEX,00012,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-06-23,sbi_hk_stock,confirmed,true,2026-06-23,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・投資・管理、建築・開発計画管理、ホテル経営、百貨店経営、資産投資及びインフラ,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
