symbol,market,asset_type,split
1343.T,jp,etf,tuning
1605.T,jp,stock,tuning
1655.T,jp,etf,validation
2558.T,jp,etf,tuning
2621.T,jp,etf,audit
2914.T,jp,stock,tuning
3382.T,jp,stock,validation
4063.T,jp,stock,audit
4502.T,jp,stock,audit
4661.T,jp,stock,validation
4755.T,jp,stock,tuning
5401.T,jp,stock,validation
6098.T,jp,stock,validation
6367.T,jp,stock,audit
6501.T,jp,stock,audit
6723.T,jp,stock,audit
6861.T,jp,stock,tuning
6954.T,jp,stock,tuning
7733.T,jp,stock,validation
8058.T,jp,stock,validation
8591.T,jp,stock,validation
8766.T,jp,stock,tuning
9020.T,jp,stock,tuning
9101.T,jp,stock,audit
ABBV,us,stock,tuning
AMD,us,stock,tuning
AVGO,us,stock,tuning
BA,us,stock,tuning
CAT,us,stock,audit
CRM,us,stock,audit
CVX,us,stock,audit
DIS,us,stock,validation
DUK,us,stock,tuning
EEM,us,etf,validation
EFA,us,etf,validation
F,us,stock,tuning
GE,us,stock,tuning
GM,us,stock,tuning
HD,us,stock,tuning
HYG,us,etf,audit
INTC,us,stock,validation
KO,us,stock,tuning
MCD,us,stock,validation
META,us,stock,audit
MRK,us,stock,audit
MU,us,stock,validation
NEE,us,stock,audit
NFLX,us,stock,audit
ORCL,us,stock,validation
PEP,us,stock,audit
PFE,us,stock,audit
PG,us,stock,validation
PLTR,us,stock,validation
SMH,us,etf,tuning
T,us,stock,validation
TSLA,us,stock,validation
UBER,us,stock,audit
UNH,us,stock,validation
VZ,us,stock,tuning
WMT,us,stock,validation
XLE,us,etf,tuning
XLF,us,etf,validation
XLU,us,etf,audit
XLV,us,etf,tuning
