symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,dividend_yield_pct,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,per,pbr,roe_pct,consensus_rating,forecast_agreement,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,trust_fee_pct,aum,nisa_tsumitate_eligible,nisa_growth_eligible,installment_available,management_style,distribution_policy,yahoo_symbol,yahoo_symbol_note,yahoo_symbol_checked_at,yahoo_symbol_status,sector_gics,industry_gics,subindustry_gics,tse_33_industry,topix_17,smai_theme_tags,theme_confidence,theme_source,market_cap,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,average_volume,asset_class,region_exposure,is_hedged,per_source,per_as_of,per_quality,pbr_source,pbr_as_of,pbr_quality,roe_pct_source,roe_pct_as_of,roe_pct_quality,dividend_yield_pct_source,dividend_yield_pct_as_of,dividend_yield_pct_quality,market_cap_tier_source,market_cap_tier_as_of,market_cap_tier_quality,market_cap_source,market_cap_as_of,market_cap_quality,expense_ratio_pct_source,expense_ratio_pct_as_of,expense_ratio_pct_quality,aum_source,aum_as_of,aum_quality,average_volume_source,average_volume_as_of,average_volume_quality,data_quality_reasons,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,JPY,sbi_securities,unknown,growth,unknown,true,true,false,false,reit,real_estate,ＮＥＸＴ ＦＵＮＤＳ 東証REIT指数連動型上場投信 東証REIT指数（配当込み）,high_dividend,4.49,,reit,0.155,beginner,"low_cost,balanced,high_dividend,index,real_estate,reit",19.63,,,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,517112987648,false,true,,,,1343.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,,,"high_dividend,index,real_estate,reit",0.80,rule_backfill_v1,,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,858599,reit,global,unknown,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,yahoo,2026-06-25,confirmed,yahoo,2026-06-25,confirmed,fundamental_metrics_not_primary_for_etf,Japan,TSE,1343,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
1605.T,Inpex,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,energy,energy,INPEX エネルギー 高配当,dividend,2.77,large,,,standard,"dividend,energy,high_dividend",10.31,0.81,8.28,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,1605.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,鉱業,エネルギー資源,"energy,high_dividend",0.80,rule_backfill_v1,3820118081536,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,8338985,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,1605,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
1655.T,iShares S&P 500 ETF,jp,etf,JPY,sbi_securities,unknown,growth,unknown,true,true,false,false,index,index,iシェアーズ S&P 500 米国株 ETF S&P500®（税引後配当込み、TTM、円建て）,none,0,,sp500,0.06,beginner,"low_cost,balanced,index",28.6,,,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,177213997056,false,true,,,,1655.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,,,index,0.80,rule_backfill_v1,,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,1453959,equity,us,unknown,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,yahoo,2026-06-25,confirmed,yahoo,2026-06-25,confirmed,fundamental_metrics_not_primary_for_etf,Japan,TSE,1655,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
2558.T,MAXIS S&P 500 ETF,jp,etf,JPY,sbi_securities,unknown,growth,unknown,true,true,false,false,index,index,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信 S&P500指数,none,0,,sp500,0.06,beginner,"low_cost,balanced,index",36.13,,,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,117581996032,false,true,,,,2558.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,,,index,0.80,rule_backfill_v1,,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,99994,equity,us,unknown,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,yahoo,2026-06-25,confirmed,yahoo,2026-06-25,confirmed,fundamental_metrics_not_primary_for_etf,Japan,TSE,2558,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,JPY,sbi_securities,unknown,growth,unknown,true,true,false,false,bond,index,iシェアーズ 米国債20年超 ETF（為替ヘッジあり） ＦＴＳＥ米国債20年超セレクト・インデックス（国内投信用 円ヘッジ円ベース）,none,0,,bond,0.14,beginner,"low_cost,balanced,bond,index",,,,,,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T14:03:24.985240+09:00,,117871001600,false,true,,,,2621.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,,,"bond,index",0.90,rule_backfill_v2_from_smai_theme_tags,,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,607814,bond,global,true,,,missing,,,missing,,,missing,yahoo,2026-06-01,confirmed,,,missing,,,missing,yahoo,2026-06-01,confirmed,yahoo,2026-06-25,confirmed,yahoo,2026-06-25,confirmed,,Japan,TSE,2621,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
2914.T,Japan Tobacco,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,consumer,consumer,日本たばこ JT 高配当,high_dividend,3.79,mega,,,standard,"dividend,consumer,high_dividend",21.69,2.65,13.62,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,2914.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,食料品,食品,"consumer,high_dividend",0.80,rule_backfill_v1,10559138299904,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,4274486,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,2914,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
3382.T,Seven & i Holdings,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,consumer,consumer,セブン アイ,dividend,2.69,large,,,standard,"balanced,consumer",15.28,1.16,7.6,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,3382.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,小売業,小売,consumer,0.80,rule_backfill_v1,4416584286208,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,7184096,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,3382,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4063.T,Shin-Etsu Chemical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,materials,materials,信越化学,dividend,1.37,mega,,,standard,"balanced,materials",30.66,3.21,10.68,3.4,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4063.T,,2026-06-25,generated,,,,化学,素材・化学,materials,0.86,rule_sprint_v3_representative_theme_from_smai_tags,13295773810688,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,8218870,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4063,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4502.T,Takeda Pharmaceutical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,healthcare,healthcare,武田薬品 ヘルスケア 高配当,high_dividend,3.91,large,,,standard,"dividend,healthcare,high_dividend",40.81,0.99,2.61,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4502.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,医薬品,医薬品,"healthcare,high_dividend",0.80,rule_backfill_v1,7984684990464,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,4260875,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4502,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4661.T,Oriental Land,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,communication,consumer,オリエンタルランド,dividend,0.65,large,,,standard,"balanced,communication,consumer",30.54,3.39,12.0,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4661.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,サービス業,情報通信・サービスその他,"communication,consumer",0.90,rule_backfill_v2_from_smai_theme_tags,3923360612352,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,5952450,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4661,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
