symbol,market,asset_type,bar_count,eligible,regime,reason
1306.T,jp,etf,1221,True,uptrend,eligible
1321.T,jp,etf,1220,True,uptrend,eligible
1489.T,jp,etf,1220,True,sideways,eligible
6758.T,jp,stock,1221,True,sideways,eligible
7203.T,jp,stock,1221,True,downtrend,eligible
8035.T,jp,stock,1221,True,high_volatility,eligible
8306.T,jp,stock,1221,True,uptrend,eligible
9432.T,jp,stock,1221,True,sideways,eligible
9984.T,jp,stock,1221,True,high_volatility,eligible
AAPL,us,stock,1253,True,uptrend,eligible
AMZN,us,stock,1253,True,uptrend,eligible
GLD,us,etf,1253,True,downtrend,eligible
GOOGL,us,stock,1253,True,uptrend,eligible
IWM,us,etf,1253,True,uptrend,eligible
JNJ,us,stock,1253,True,uptrend,eligible
JPM,us,stock,1253,True,uptrend,eligible
MSFT,us,stock,1253,True,sideways,eligible
NVDA,us,stock,1253,True,uptrend,eligible
QQQ,us,etf,1253,True,uptrend,eligible
SPY,us,etf,1253,True,uptrend,eligible
TLT,us,etf,1253,True,sideways,eligible
VTI,us,etf,1253,True,uptrend,eligible
XOM,us,stock,1253,True,downtrend,eligible
