group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
asset_type,etf,advanced_linear,rolling_origin,20,9,0,45,45,0.0601,0.0710,0.2889,0.0508,-0.0202,
asset_type,etf,advanced_tree_sklearn,rolling_origin,20,9,0,45,45,0.0526,0.0625,0.2222,0.0508,-0.0117,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,20,9,0,45,45,0.0538,0.0645,0.3111,0.0508,-0.0137,
asset_type,etf,advanced_quantile,rolling_origin,20,9,0,45,45,0.0456,0.0561,0.4000,0.0508,-0.0053,
asset_type,etf,forecast_consensus,rolling_origin,20,9,0,45,45,0.0503,0.0601,0.2667,0.0508,-0.0093,0.0368
asset_type,etf,advanced_linear,rolling_origin,60,9,0,45,45,0.0933,0.1150,0.5111,0.0946,-0.0204,
asset_type,etf,advanced_tree_sklearn,rolling_origin,60,9,0,45,45,0.0809,0.1023,0.4889,0.0946,-0.0077,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,60,9,0,45,45,0.0900,0.1101,0.4000,0.0946,-0.0155,
asset_type,etf,advanced_quantile,rolling_origin,60,9,0,45,45,0.0678,0.0910,0.6000,0.0946,0.0036,
asset_type,etf,forecast_consensus,rolling_origin,60,9,0,45,45,0.0771,0.0983,0.5111,0.0946,-0.0037,0.0617
asset_type,stock,advanced_linear,rolling_origin,20,14,0,70,70,0.0937,0.1243,0.5143,0.0986,-0.0257,
asset_type,stock,advanced_tree_sklearn,rolling_origin,20,14,0,70,70,0.0773,0.1041,0.4286,0.0986,-0.0055,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,20,14,0,70,70,0.0739,0.1043,0.5143,0.0986,-0.0057,
asset_type,stock,advanced_quantile,rolling_origin,20,14,0,70,70,0.0774,0.1024,0.4286,0.0986,-0.0038,
asset_type,stock,forecast_consensus,rolling_origin,20,14,0,70,70,0.0777,0.1045,0.5286,0.0986,-0.0059,0.0540
asset_type,stock,advanced_linear,rolling_origin,60,14,0,70,70,0.1394,0.1939,0.6714,0.1936,-0.0003,
asset_type,stock,advanced_tree_sklearn,rolling_origin,60,14,0,70,70,0.1358,0.1925,0.6000,0.1936,0.0011,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,60,14,0,70,70,0.1387,0.1961,0.5714,0.1936,-0.0025,
asset_type,stock,advanced_quantile,rolling_origin,60,14,0,70,70,0.1351,0.1923,0.5714,0.1936,0.0013,
asset_type,stock,forecast_consensus,rolling_origin,60,14,0,70,70,0.1350,0.1891,0.6571,0.1936,0.0045,0.0878
