group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
overall,all,advanced_linear,rolling_origin,20,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_tree_sklearn,rolling_origin,20,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_gbdt_sklearn,rolling_origin,20,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_quantile,rolling_origin,20,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,forecast_consensus,rolling_origin,20,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_linear,rolling_origin,60,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_tree_sklearn,rolling_origin,60,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_gbdt_sklearn,rolling_origin,60,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,advanced_quantile,rolling_origin,60,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
overall,all,forecast_consensus,rolling_origin,60,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
