group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
market,jp,advanced_linear,rolling_origin,20,9,0,45,45,0.0825,0.1123,0.6222,0.0925,-0.0198,
market,jp,advanced_tree_sklearn,rolling_origin,20,9,0,45,45,0.0645,0.0892,0.4667,0.0925,0.0033,
market,jp,advanced_gbdt_sklearn,rolling_origin,20,9,0,45,45,0.0638,0.0904,0.5333,0.0925,0.0021,
market,jp,advanced_quantile,rolling_origin,20,9,0,45,45,0.0613,0.0894,0.5778,0.0925,0.0031,
market,jp,forecast_consensus,rolling_origin,20,9,0,45,45,0.0621,0.0885,0.6444,0.0925,0.0040,0.0648
market,jp,advanced_linear,rolling_origin,60,9,0,45,45,0.1180,0.1860,0.8222,0.2023,0.0163,
market,jp,advanced_tree_sklearn,rolling_origin,60,9,0,45,45,0.1167,0.1853,0.6000,0.2023,0.0170,
market,jp,advanced_gbdt_sklearn,rolling_origin,60,9,0,45,45,0.1255,0.1891,0.5111,0.2023,0.0132,
market,jp,advanced_quantile,rolling_origin,60,9,0,45,45,0.1169,0.1936,0.6889,0.2023,0.0087,
market,jp,forecast_consensus,rolling_origin,60,9,0,45,45,0.1126,0.1826,0.6889,0.2023,0.0197,0.0905
market,us,advanced_linear,rolling_origin,20,14,0,70,70,0.0793,0.1028,0.3000,0.0767,-0.0261,
market,us,advanced_tree_sklearn,rolling_origin,20,14,0,70,70,0.0696,0.0907,0.2714,0.0767,-0.0140,
market,us,advanced_gbdt_sklearn,rolling_origin,20,14,0,70,70,0.0675,0.0911,0.3714,0.0767,-0.0144,
market,us,advanced_quantile,rolling_origin,20,14,0,70,70,0.0673,0.0859,0.3143,0.0767,-0.0092,
market,us,forecast_consensus,rolling_origin,20,14,0,70,70,0.0702,0.0906,0.2857,0.0767,-0.0139,0.0361
market,us,advanced_linear,rolling_origin,60,14,0,70,70,0.1236,0.1545,0.4714,0.1301,-0.0244,
market,us,advanced_tree_sklearn,rolling_origin,60,14,0,70,70,0.1128,0.1473,0.5286,0.1301,-0.0172,
market,us,advanced_gbdt_sklearn,rolling_origin,60,14,0,70,70,0.1159,0.1525,0.5000,0.1301,-0.0224,
market,us,advanced_quantile,rolling_origin,60,14,0,70,70,0.1035,0.1350,0.5143,0.1301,-0.0049,
market,us,forecast_consensus,rolling_origin,60,14,0,70,70,0.1121,0.1432,0.5429,0.1301,-0.0131,0.0693
