group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
regime,downtrend,advanced_linear,rolling_origin,20,3,0,15,15,0.0784,0.0937,0.3333,0.0737,-0.0200,
regime,downtrend,advanced_tree_sklearn,rolling_origin,20,3,0,15,15,0.0656,0.0840,0.3333,0.0737,-0.0103,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,20,3,0,15,15,0.0651,0.0866,0.5333,0.0737,-0.0129,
regime,downtrend,advanced_quantile,rolling_origin,20,3,0,15,15,0.0673,0.0827,0.4667,0.0737,-0.0090,
regime,downtrend,forecast_consensus,rolling_origin,20,3,0,15,15,0.0692,0.0851,0.3333,0.0737,-0.0114,0.0341
regime,downtrend,advanced_linear,rolling_origin,60,3,0,15,15,0.1152,0.1331,0.6667,0.1348,0.0017,
regime,downtrend,advanced_tree_sklearn,rolling_origin,60,3,0,15,15,0.1269,0.1446,0.6667,0.1348,-0.0098,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,60,3,0,15,15,0.1292,0.1478,0.6000,0.1348,-0.0130,
regime,downtrend,advanced_quantile,rolling_origin,60,3,0,15,15,0.1124,0.1289,0.6667,0.1348,0.0059,
regime,downtrend,forecast_consensus,rolling_origin,60,3,0,15,15,0.1209,0.1362,0.6667,0.1348,-0.0014,0.0587
regime,high_volatility,advanced_linear,rolling_origin,20,2,0,10,10,0.1605,0.1928,0.6000,0.1612,-0.0316,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,20,2,0,10,10,0.1152,0.1485,0.6000,0.1612,0.0127,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,20,2,0,10,10,0.1090,0.1445,0.8000,0.1612,0.0167,
regime,high_volatility,advanced_quantile,rolling_origin,20,2,0,10,10,0.1127,0.1534,0.6000,0.1612,0.0078,
regime,high_volatility,forecast_consensus,rolling_origin,20,2,0,10,10,0.1218,0.1513,0.8000,0.1612,0.0099,0.1088
regime,high_volatility,advanced_linear,rolling_origin,60,2,0,10,10,0.2442,0.3422,0.7000,0.3801,0.0379,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,60,2,0,10,10,0.2551,0.3471,0.4000,0.3801,0.0330,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,60,2,0,10,10,0.2564,0.3491,0.4000,0.3801,0.0310,
regime,high_volatility,advanced_quantile,rolling_origin,60,2,0,10,10,0.2572,0.3630,0.6000,0.3801,0.0171,
regime,high_volatility,forecast_consensus,rolling_origin,60,2,0,10,10,0.2498,0.3443,0.7000,0.3801,0.0358,0.1447
regime,sideways,advanced_linear,rolling_origin,20,5,0,25,25,0.0595,0.0789,0.6000,0.0562,-0.0227,
regime,sideways,advanced_tree_sklearn,rolling_origin,20,5,0,25,25,0.0523,0.0691,0.3200,0.0562,-0.0129,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,20,5,0,25,25,0.0536,0.0697,0.3200,0.0562,-0.0135,
regime,sideways,advanced_quantile,rolling_origin,20,5,0,25,25,0.0481,0.0657,0.4400,0.0562,-0.0095,
regime,sideways,forecast_consensus,rolling_origin,20,5,0,25,25,0.0444,0.0636,0.5600,0.0562,-0.0074,0.0507
regime,sideways,advanced_linear,rolling_origin,60,5,0,25,25,0.0905,0.1215,0.7600,0.0696,-0.0519,
regime,sideways,advanced_tree_sklearn,rolling_origin,60,5,0,25,25,0.0639,0.0850,0.6800,0.0696,-0.0154,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,60,5,0,25,25,0.0733,0.0960,0.6400,0.0696,-0.0264,
regime,sideways,advanced_quantile,rolling_origin,60,5,0,25,25,0.0588,0.0849,0.6800,0.0696,-0.0153,
regime,sideways,forecast_consensus,rolling_origin,60,5,0,25,25,0.0623,0.0867,0.7600,0.0696,-0.0171,0.0874
regime,uptrend,advanced_linear,rolling_origin,20,13,0,65,65,0.0768,0.0999,0.3538,0.0761,-0.0238,
regime,uptrend,advanced_tree_sklearn,rolling_origin,20,13,0,65,65,0.0666,0.0867,0.3231,0.0761,-0.0106,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,20,13,0,65,65,0.0644,0.0882,0.4000,0.0761,-0.0121,
regime,uptrend,advanced_quantile,rolling_origin,20,13,0,65,65,0.0636,0.0813,0.3692,0.0761,-0.0052,
regime,uptrend,forecast_consensus,rolling_origin,20,13,0,65,65,0.0668,0.0867,0.3385,0.0761,-0.0106,0.0396
regime,uptrend,advanced_linear,rolling_origin,60,13,0,65,65,0.1157,0.1478,0.5231,0.1352,-0.0126,
regime,uptrend,advanced_tree_sklearn,rolling_origin,60,13,0,65,65,0.1091,0.1449,0.5077,0.1352,-0.0097,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,60,13,0,65,65,0.1143,0.1499,0.4462,0.1352,-0.0147,
regime,uptrend,advanced_quantile,rolling_origin,60,13,0,65,65,0.1043,0.1368,0.5231,0.1352,-0.0016,
regime,uptrend,forecast_consensus,rolling_origin,60,13,0,65,65,0.1084,0.1407,0.5077,0.1352,-0.0055,0.0678
