symbol,market,asset_type,bar_count,eligible,regime,reason
2621.T,jp,etf,1404,True,sideways,eligible
4063.T,jp,stock,2463,True,uptrend,eligible
4502.T,jp,stock,2463,True,sideways,eligible
6367.T,jp,stock,2463,True,uptrend,eligible
6501.T,jp,stock,2463,True,sideways,eligible
6723.T,jp,stock,2463,True,high_volatility,eligible
9101.T,jp,stock,2463,True,downtrend,eligible
CAT,us,stock,2512,True,high_volatility,eligible
CRM,us,stock,2512,True,high_volatility,eligible
CVX,us,stock,2512,True,downtrend,eligible
HYG,us,etf,2512,True,sideways,eligible
META,us,stock,2512,True,sideways,eligible
MRK,us,stock,2512,True,sideways,eligible
NEE,us,stock,2512,True,sideways,eligible
NFLX,us,stock,2512,True,downtrend,eligible
PEP,us,stock,2512,True,downtrend,eligible
PFE,us,stock,2512,True,downtrend,eligible
UBER,us,stock,1800,True,sideways,eligible
XLU,us,etf,2512,True,sideways,eligible
