group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
asset_type,etf,advanced_linear,rolling_origin,20,3,0,15,15,0.0276,0.0352,0.5333,0.0374,0.0022,
asset_type,etf,advanced_tree_sklearn,rolling_origin,20,3,0,15,15,0.0250,0.0326,0.6000,0.0374,0.0048,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,20,3,0,15,15,0.0283,0.0350,0.4667,0.0374,0.0024,
asset_type,etf,advanced_quantile,rolling_origin,20,3,0,15,15,0.0226,0.0313,0.8000,0.0374,0.0061,
asset_type,etf,forecast_consensus,rolling_origin,20,3,0,15,15,0.0245,0.0320,0.5333,0.0374,0.0054,0.0196
asset_type,etf,advanced_linear,rolling_origin,60,3,0,15,15,0.0243,0.0298,0.6000,0.0271,-0.0027,
asset_type,etf,advanced_tree_sklearn,rolling_origin,60,3,0,15,15,0.0254,0.0320,0.5333,0.0271,-0.0049,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,60,3,0,15,15,0.0310,0.0374,0.5333,0.0271,-0.0103,
asset_type,etf,advanced_quantile,rolling_origin,60,3,0,15,15,0.0235,0.0311,0.4667,0.0271,-0.0040,
asset_type,etf,forecast_consensus,rolling_origin,60,3,0,15,15,0.0258,0.0310,0.5333,0.0271,-0.0039,0.0229
asset_type,stock,advanced_linear,rolling_origin,20,16,0,80,80,0.0670,0.0951,0.5875,0.0984,0.0033,
asset_type,stock,advanced_tree_sklearn,rolling_origin,20,16,0,80,80,0.0579,0.0871,0.6500,0.0984,0.0113,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,20,16,0,80,80,0.0641,0.0943,0.5500,0.0984,0.0041,
asset_type,stock,advanced_quantile,rolling_origin,20,16,0,80,80,0.0587,0.0951,0.6750,0.0984,0.0033,
asset_type,stock,forecast_consensus,rolling_origin,20,16,0,80,80,0.0606,0.0903,0.6250,0.0984,0.0081,0.0401
asset_type,stock,advanced_linear,rolling_origin,60,16,0,80,80,0.1420,0.2110,0.6125,0.1820,-0.0290,
asset_type,stock,advanced_tree_sklearn,rolling_origin,60,16,0,80,80,0.1206,0.1716,0.6750,0.1820,0.0104,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,60,16,0,80,80,0.1305,0.1899,0.5875,0.1820,-0.0079,
asset_type,stock,advanced_quantile,rolling_origin,60,16,0,80,80,0.1210,0.1732,0.6125,0.1820,0.0088,
asset_type,stock,forecast_consensus,rolling_origin,60,16,0,80,80,0.1231,0.1766,0.6500,0.1820,0.0054,0.0924
