group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
overall,all,advanced_linear,rolling_origin,20,19,0,95,95,0.0608,0.0884,0.5789,0.0915,0.0031,
overall,all,advanced_tree_sklearn,rolling_origin,20,19,0,95,95,0.0527,0.0810,0.6421,0.0915,0.0105,
overall,all,advanced_gbdt_sklearn,rolling_origin,20,19,0,95,95,0.0585,0.0877,0.5368,0.0915,0.0038,
overall,all,advanced_quantile,rolling_origin,20,19,0,95,95,0.0530,0.0882,0.6947,0.0915,0.0033,
overall,all,forecast_consensus,rolling_origin,20,19,0,95,95,0.0549,0.0838,0.6105,0.0915,0.0077,0.0369
overall,all,advanced_linear,rolling_origin,60,19,0,95,95,0.1234,0.1940,0.6105,0.1673,-0.0267,
overall,all,advanced_tree_sklearn,rolling_origin,60,19,0,95,95,0.1056,0.1580,0.6526,0.1673,0.0093,
overall,all,advanced_gbdt_sklearn,rolling_origin,60,19,0,95,95,0.1148,0.1749,0.5789,0.1673,-0.0076,
overall,all,advanced_quantile,rolling_origin,60,19,0,95,95,0.1056,0.1594,0.5895,0.1673,0.0079,
overall,all,forecast_consensus,rolling_origin,60,19,0,95,95,0.1078,0.1625,0.6316,0.1673,0.0048,0.0814
