group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
market,jp,advanced_linear,rolling_origin,20,7,0,35,35,0.0688,0.1062,0.8000,0.1229,0.0167,
market,jp,advanced_tree_sklearn,rolling_origin,20,7,0,35,35,0.0624,0.1003,0.7143,0.1229,0.0226,
market,jp,advanced_gbdt_sklearn,rolling_origin,20,7,0,35,35,0.0705,0.1045,0.6286,0.1229,0.0184,
market,jp,advanced_quantile,rolling_origin,20,7,0,35,35,0.0654,0.1162,0.8000,0.1229,0.0067,
market,jp,forecast_consensus,rolling_origin,20,7,0,35,35,0.0646,0.1039,0.7429,0.1229,0.0190,0.0455
market,jp,advanced_linear,rolling_origin,60,7,0,35,35,0.1467,0.2333,0.7143,0.2149,-0.0184,
market,jp,advanced_tree_sklearn,rolling_origin,60,7,0,35,35,0.1221,0.1906,0.7714,0.2149,0.0243,
market,jp,advanced_gbdt_sklearn,rolling_origin,60,7,0,35,35,0.1284,0.1986,0.7429,0.2149,0.0163,
market,jp,advanced_quantile,rolling_origin,60,7,0,35,35,0.1216,0.1955,0.7714,0.2149,0.0194,
market,jp,forecast_consensus,rolling_origin,60,7,0,35,35,0.1257,0.1984,0.7143,0.2149,0.0165,0.0854
market,us,advanced_linear,rolling_origin,20,12,0,60,60,0.0561,0.0760,0.4500,0.0668,-0.0092,
market,us,advanced_tree_sklearn,rolling_origin,20,12,0,60,60,0.0470,0.0672,0.6000,0.0668,-0.0004,
market,us,advanced_gbdt_sklearn,rolling_origin,20,12,0,60,60,0.0514,0.0761,0.4833,0.0668,-0.0093,
market,us,advanced_quantile,rolling_origin,20,12,0,60,60,0.0457,0.0666,0.6333,0.0668,0.0002,
market,us,forecast_consensus,rolling_origin,20,12,0,60,60,0.0492,0.0695,0.5333,0.0668,-0.0027,0.0318
market,us,advanced_linear,rolling_origin,60,12,0,60,60,0.1099,0.1669,0.5500,0.1318,-0.0351,
market,us,advanced_tree_sklearn,rolling_origin,60,12,0,60,60,0.0959,0.1354,0.5833,0.1318,-0.0036,
market,us,advanced_gbdt_sklearn,rolling_origin,60,12,0,60,60,0.1069,0.1595,0.4833,0.1318,-0.0277,
market,us,advanced_quantile,rolling_origin,60,12,0,60,60,0.0962,0.1340,0.4833,0.1318,-0.0022,
market,us,forecast_consensus,rolling_origin,60,12,0,60,60,0.0973,0.1373,0.5833,0.1318,-0.0055,0.0791
