group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
regime,downtrend,advanced_linear,rolling_origin,20,5,0,25,25,0.0773,0.1207,0.4400,0.1370,0.0163,
regime,downtrend,advanced_tree_sklearn,rolling_origin,20,5,0,25,25,0.0613,0.1121,0.5600,0.1370,0.0249,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,20,5,0,25,25,0.0657,0.1149,0.5600,0.1370,0.0221,
regime,downtrend,advanced_quantile,rolling_origin,20,5,0,25,25,0.0666,0.1310,0.5200,0.1370,0.0060,
regime,downtrend,forecast_consensus,rolling_origin,20,5,0,25,25,0.0665,0.1174,0.5600,0.1370,0.0196,0.0417
regime,downtrend,advanced_linear,rolling_origin,60,5,0,25,25,0.1424,0.2096,0.6400,0.1546,-0.0550,
regime,downtrend,advanced_tree_sklearn,rolling_origin,60,5,0,25,25,0.1088,0.1410,0.7600,0.1546,0.0136,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,60,5,0,25,25,0.1173,0.1564,0.7600,0.1546,-0.0018,
regime,downtrend,advanced_quantile,rolling_origin,60,5,0,25,25,0.1201,0.1534,0.5600,0.1546,0.0012,
regime,downtrend,forecast_consensus,rolling_origin,60,5,0,25,25,0.1119,0.1460,0.7200,0.1546,0.0086,0.1103
regime,high_volatility,advanced_linear,rolling_origin,20,3,0,15,15,0.0575,0.0704,0.5333,0.0621,-0.0083,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,20,3,0,15,15,0.0432,0.0543,0.6667,0.0621,0.0078,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,20,3,0,15,15,0.0487,0.0647,0.5333,0.0621,-0.0026,
regime,high_volatility,advanced_quantile,rolling_origin,20,3,0,15,15,0.0489,0.0617,0.6667,0.0621,0.0004,
regime,high_volatility,forecast_consensus,rolling_origin,20,3,0,15,15,0.0491,0.0601,0.6000,0.0621,0.0020,0.0383
regime,high_volatility,advanced_linear,rolling_origin,60,3,0,15,15,0.2565,0.3419,0.4000,0.2920,-0.0499,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,60,3,0,15,15,0.2020,0.2760,0.6000,0.2920,0.0160,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,60,3,0,15,15,0.2200,0.2861,0.4000,0.2920,0.0059,
regime,high_volatility,advanced_quantile,rolling_origin,60,3,0,15,15,0.1978,0.2737,0.6667,0.2920,0.0183,
regime,high_volatility,forecast_consensus,rolling_origin,60,3,0,15,15,0.2151,0.2871,0.4667,0.2920,0.0049,0.1218
regime,sideways,advanced_linear,rolling_origin,20,9,0,45,45,0.0559,0.0758,0.6000,0.0691,-0.0067,
regime,sideways,advanced_tree_sklearn,rolling_origin,20,9,0,45,45,0.0493,0.0684,0.6667,0.0691,0.0007,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,20,9,0,45,45,0.0546,0.0767,0.5333,0.0691,-0.0076,
regime,sideways,advanced_quantile,rolling_origin,20,9,0,45,45,0.0478,0.0681,0.7556,0.0691,0.0010,
regime,sideways,forecast_consensus,rolling_origin,20,9,0,45,45,0.0502,0.0698,0.6000,0.0691,-0.0007,0.0340
regime,sideways,advanced_linear,rolling_origin,60,9,0,45,45,0.0725,0.1130,0.6222,0.1146,0.0016,
regime,sideways,advanced_tree_sklearn,rolling_origin,60,9,0,45,45,0.0756,0.1167,0.5778,0.1146,-0.0021,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,60,9,0,45,45,0.0842,0.1444,0.4889,0.1146,-0.0298,
regime,sideways,advanced_quantile,rolling_origin,60,9,0,45,45,0.0725,0.1139,0.5333,0.1146,0.0007,
regime,sideways,forecast_consensus,rolling_origin,60,9,0,45,45,0.0737,0.1168,0.6000,0.1146,-0.0022,0.0603
regime,uptrend,advanced_linear,rolling_origin,20,2,0,10,10,0.0464,0.0667,0.9000,0.0734,0.0067,
regime,uptrend,advanced_tree_sklearn,rolling_origin,20,2,0,10,10,0.0605,0.0738,0.7000,0.0734,-0.0004,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,20,2,0,10,10,0.0722,0.0850,0.5000,0.0734,-0.0116,
regime,uptrend,advanced_quantile,rolling_origin,20,2,0,10,10,0.0482,0.0657,0.9000,0.0734,0.0077,
regime,uptrend,forecast_consensus,rolling_origin,20,2,0,10,10,0.0558,0.0706,0.8000,0.0734,0.0028,0.0357
regime,uptrend,advanced_linear,rolling_origin,60,2,0,10,10,0.1054,0.1220,0.8000,0.1390,0.0170,
regime,uptrend,advanced_tree_sklearn,rolling_origin,60,2,0,10,10,0.0875,0.1087,0.8000,0.1390,0.0303,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,60,2,0,10,10,0.0882,0.1141,0.8000,0.1390,0.0249,
regime,uptrend,advanced_quantile,rolling_origin,60,2,0,10,10,0.0796,0.1090,0.8000,0.1390,0.0300,
regime,uptrend,forecast_consensus,rolling_origin,60,2,0,10,10,0.0898,0.1118,0.8000,0.1390,0.0272,0.0436
