symbol,market,asset_type,bar_count,eligible,regime,reason
1343.T,jp,etf,2461,True,sideways,eligible
1605.T,jp,stock,2463,True,downtrend,eligible
2558.T,jp,etf,1590,False,high_volatility,extreme_price_jump:9.0588
2914.T,jp,stock,2463,True,sideways,eligible
4755.T,jp,stock,2463,True,sideways,eligible
6861.T,jp,stock,2463,True,high_volatility,eligible
6954.T,jp,stock,2463,True,high_volatility,eligible
8766.T,jp,stock,2463,True,uptrend,eligible
9020.T,jp,stock,2463,True,sideways,eligible
ABBV,us,stock,2512,True,uptrend,eligible
AMD,us,stock,2512,True,high_volatility,eligible
AVGO,us,stock,2512,True,high_volatility,eligible
BA,us,stock,2512,True,sideways,eligible
DUK,us,stock,2512,True,sideways,eligible
F,us,stock,2512,True,high_volatility,eligible
GE,us,stock,2512,True,uptrend,eligible
GM,us,stock,2512,True,sideways,eligible
HD,us,stock,2512,True,sideways,eligible
KO,us,stock,2512,True,uptrend,eligible
SMH,us,etf,2512,True,high_volatility,eligible
VZ,us,stock,2512,True,sideways,eligible
XLE,us,etf,2512,True,sideways,eligible
XLV,us,etf,2512,True,uptrend,eligible
