group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
asset_type,etf,advanced_linear,rolling_origin,20,4,0,20,20,0.0466,0.0637,0.5000,0.0360,-0.0277,
asset_type,etf,advanced_tree_sklearn,rolling_origin,20,4,0,20,20,0.0266,0.0342,0.6000,0.0360,0.0018,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,20,4,0,20,20,0.0262,0.0338,0.7000,0.0360,0.0022,
asset_type,etf,advanced_quantile,rolling_origin,20,4,0,20,20,0.0222,0.0278,0.7500,0.0360,0.0082,
asset_type,etf,forecast_consensus,rolling_origin,20,4,0,20,20,0.0292,0.0365,0.6000,0.0360,-0.0005,0.0331
asset_type,etf,advanced_linear,rolling_origin,60,4,0,20,20,0.0967,0.1363,0.5500,0.1272,-0.0091,
asset_type,etf,advanced_tree_sklearn,rolling_origin,60,4,0,20,20,0.0851,0.1115,0.6000,0.1272,0.0157,
asset_type,etf,advanced_gbdt_sklearn,rolling_origin,60,4,0,20,20,0.0907,0.1189,0.5500,0.1272,0.0083,
asset_type,etf,advanced_quantile,rolling_origin,60,4,0,20,20,0.0883,0.1124,0.5000,0.1272,0.0148,
asset_type,etf,forecast_consensus,rolling_origin,60,4,0,20,20,0.0890,0.1139,0.4500,0.1272,0.0133,0.0551
asset_type,stock,advanced_linear,rolling_origin,20,18,0,90,90,0.0685,0.0956,0.5667,0.0777,-0.0179,
asset_type,stock,advanced_tree_sklearn,rolling_origin,20,18,0,90,90,0.0567,0.0748,0.6000,0.0777,0.0029,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,20,18,0,90,90,0.0627,0.0834,0.6111,0.0777,-0.0057,
asset_type,stock,advanced_quantile,rolling_origin,20,18,0,90,90,0.0549,0.0736,0.6444,0.0777,0.0041,
asset_type,stock,forecast_consensus,rolling_origin,20,18,0,90,90,0.0571,0.0766,0.6222,0.0777,0.0011,0.0449
asset_type,stock,advanced_linear,rolling_origin,60,18,0,90,90,0.1301,0.1878,0.5667,0.2069,0.0191,
asset_type,stock,advanced_tree_sklearn,rolling_origin,60,18,0,90,90,0.1216,0.1906,0.6111,0.2069,0.0163,
asset_type,stock,advanced_gbdt_sklearn,rolling_origin,60,18,0,90,90,0.1351,0.2049,0.5333,0.2069,0.0020,
asset_type,stock,advanced_quantile,rolling_origin,60,18,0,90,90,0.1262,0.1935,0.5333,0.2069,0.0134,
asset_type,stock,forecast_consensus,rolling_origin,60,18,0,90,90,0.1251,0.1909,0.5889,0.2069,0.0160,0.0709
