group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
market,jp,advanced_linear,rolling_origin,20,8,0,40,40,0.0716,0.0989,0.5000,0.0794,-0.0195,
market,jp,advanced_tree_sklearn,rolling_origin,20,8,0,40,40,0.0633,0.0798,0.5500,0.0794,-0.0004,
market,jp,advanced_gbdt_sklearn,rolling_origin,20,8,0,40,40,0.0671,0.0844,0.5750,0.0794,-0.0050,
market,jp,advanced_quantile,rolling_origin,20,8,0,40,40,0.0613,0.0782,0.6000,0.0794,0.0012,
market,jp,forecast_consensus,rolling_origin,20,8,0,40,40,0.0650,0.0837,0.5500,0.0794,-0.0043,0.0326
market,jp,advanced_linear,rolling_origin,60,8,0,40,40,0.1206,0.1546,0.5000,0.1377,-0.0169,
market,jp,advanced_tree_sklearn,rolling_origin,60,8,0,40,40,0.1039,0.1377,0.5500,0.1377,0.0000,
market,jp,advanced_gbdt_sklearn,rolling_origin,60,8,0,40,40,0.1113,0.1462,0.4000,0.1377,-0.0085,
market,jp,advanced_quantile,rolling_origin,60,8,0,40,40,0.1062,0.1391,0.4750,0.1377,-0.0014,
market,jp,forecast_consensus,rolling_origin,60,8,0,40,40,0.1065,0.1404,0.5250,0.1377,-0.0027,0.0633
market,us,advanced_linear,rolling_origin,20,14,0,70,70,0.0604,0.0855,0.5857,0.0673,-0.0182,
market,us,advanced_tree_sklearn,rolling_origin,20,14,0,70,70,0.0443,0.0624,0.6286,0.0673,0.0049,
market,us,advanced_gbdt_sklearn,rolling_origin,20,14,0,70,70,0.0498,0.0721,0.6571,0.0673,-0.0048,
market,us,advanced_quantile,rolling_origin,20,14,0,70,70,0.0419,0.0607,0.7000,0.0673,0.0066,
market,us,forecast_consensus,rolling_origin,20,14,0,70,70,0.0447,0.0627,0.6571,0.0673,0.0046,0.0486
market,us,advanced_linear,rolling_origin,60,14,0,70,70,0.1260,0.1924,0.6000,0.2210,0.0286,
market,us,advanced_tree_sklearn,rolling_origin,60,14,0,70,70,0.1212,0.1985,0.6429,0.2210,0.0225,
market,us,advanced_gbdt_sklearn,rolling_origin,60,14,0,70,70,0.1360,0.2140,0.6143,0.2210,0.0070,
market,us,advanced_quantile,rolling_origin,60,14,0,70,70,0.1268,0.2018,0.5571,0.2210,0.0192,
market,us,forecast_consensus,rolling_origin,60,14,0,70,70,0.1255,0.1983,0.5857,0.2210,0.0227,0.0708
