group_type,group_value,model_name,evaluation_method,horizon_days,evaluated_case_count,skipped_case_count,validation_sample_count,fold_count,mae,rmse,direction_accuracy,baseline_zero_rmse,rmse_improvement,mean_model_disagreement
regime,downtrend,advanced_linear,rolling_origin,20,1,0,5,5,0.1221,0.1502,0.2000,0.1155,-0.0347,
regime,downtrend,advanced_tree_sklearn,rolling_origin,20,1,0,5,5,0.0806,0.0881,0.6000,0.1155,0.0274,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,20,1,0,5,5,0.0762,0.0888,0.8000,0.1155,0.0267,
regime,downtrend,advanced_quantile,rolling_origin,20,1,0,5,5,0.0844,0.0933,0.6000,0.1155,0.0222,
regime,downtrend,forecast_consensus,rolling_origin,20,1,0,5,5,0.0907,0.1038,0.6000,0.1155,0.0117,0.0575
regime,downtrend,advanced_linear,rolling_origin,60,1,0,5,5,0.1290,0.1596,0.6000,0.1677,0.0081,
regime,downtrend,advanced_tree_sklearn,rolling_origin,60,1,0,5,5,0.1577,0.1803,0.4000,0.1677,-0.0126,
regime,downtrend,advanced_gbdt_sklearn,rolling_origin,60,1,0,5,5,0.1754,0.1969,0.2000,0.1677,-0.0292,
regime,downtrend,advanced_quantile,rolling_origin,60,1,0,5,5,0.1560,0.1705,0.4000,0.1677,-0.0028,
regime,downtrend,forecast_consensus,rolling_origin,60,1,0,5,5,0.1472,0.1723,0.6000,0.1677,-0.0046,0.1013
regime,high_volatility,advanced_linear,rolling_origin,20,6,0,30,30,0.0998,0.1249,0.5000,0.0951,-0.0298,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,20,6,0,30,30,0.0687,0.0846,0.7000,0.0951,0.0105,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,20,6,0,30,30,0.0801,0.0988,0.6333,0.0951,-0.0037,
regime,high_volatility,advanced_quantile,rolling_origin,20,6,0,30,30,0.0619,0.0801,0.7333,0.0951,0.0150,
regime,high_volatility,forecast_consensus,rolling_origin,20,6,0,30,30,0.0708,0.0865,0.6000,0.0951,0.0086,0.0732
regime,high_volatility,advanced_linear,rolling_origin,60,6,0,30,30,0.1791,0.2629,0.7333,0.3178,0.0549,
regime,high_volatility,advanced_tree_sklearn,rolling_origin,60,6,0,30,30,0.1658,0.2741,0.8000,0.3178,0.0437,
regime,high_volatility,advanced_gbdt_sklearn,rolling_origin,60,6,0,30,30,0.1895,0.2942,0.6667,0.3178,0.0236,
regime,high_volatility,advanced_quantile,rolling_origin,60,6,0,30,30,0.1764,0.2781,0.7333,0.3178,0.0397,
regime,high_volatility,forecast_consensus,rolling_origin,60,6,0,30,30,0.1754,0.2741,0.7333,0.3178,0.0437,0.0842
regime,sideways,advanced_linear,rolling_origin,20,10,0,50,50,0.0537,0.0747,0.5200,0.0600,-0.0147,
regime,sideways,advanced_tree_sklearn,rolling_origin,20,10,0,50,50,0.0489,0.0691,0.4400,0.0600,-0.0091,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,20,10,0,50,50,0.0518,0.0744,0.5200,0.0600,-0.0144,
regime,sideways,advanced_quantile,rolling_origin,20,10,0,50,50,0.0472,0.0670,0.5600,0.0600,-0.0070,
regime,sideways,forecast_consensus,rolling_origin,20,10,0,50,50,0.0487,0.0696,0.5200,0.0600,-0.0096,0.0308
regime,sideways,advanced_linear,rolling_origin,60,10,0,50,50,0.0976,0.1320,0.4800,0.1128,-0.0192,
regime,sideways,advanced_tree_sklearn,rolling_origin,60,10,0,50,50,0.0898,0.1222,0.5000,0.1128,-0.0094,
regime,sideways,advanced_gbdt_sklearn,rolling_origin,60,10,0,50,50,0.0974,0.1341,0.4600,0.1128,-0.0213,
regime,sideways,advanced_quantile,rolling_origin,60,10,0,50,50,0.0921,0.1254,0.4000,0.1128,-0.0126,
regime,sideways,forecast_consensus,rolling_origin,60,10,0,50,50,0.0910,0.1245,0.4800,0.1128,-0.0117,0.0589
regime,uptrend,advanced_linear,rolling_origin,20,5,0,25,25,0.0322,0.0418,0.7600,0.0453,0.0035,
regime,uptrend,advanced_tree_sklearn,rolling_origin,20,5,0,25,25,0.0288,0.0374,0.8000,0.0453,0.0079,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,20,5,0,25,25,0.0317,0.0393,0.8000,0.0453,0.0060,
regime,uptrend,advanced_quantile,rolling_origin,20,5,0,25,25,0.0297,0.0411,0.8000,0.0453,0.0042,
regime,uptrend,forecast_consensus,rolling_origin,20,5,0,25,25,0.0285,0.0371,0.8400,0.0453,0.0082,0.0272
regime,uptrend,advanced_linear,rolling_origin,60,5,0,25,25,0.1099,0.1377,0.5200,0.1216,-0.0161,
regime,uptrend,advanced_tree_sklearn,rolling_origin,60,5,0,25,25,0.0957,0.1189,0.6400,0.1216,0.0027,
regime,uptrend,advanced_gbdt_sklearn,rolling_origin,60,5,0,25,25,0.1014,0.1217,0.6000,0.1216,-0.0001,
regime,uptrend,advanced_quantile,rolling_origin,60,5,0,25,25,0.0978,0.1220,0.5600,0.1216,-0.0004,
regime,uptrend,forecast_consensus,rolling_origin,60,5,0,25,25,0.0997,0.1206,0.5200,0.1216,0.0010,0.0603
