symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,etf,2021-02-15,60,60,24.32,10.6500,75,25,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-6.211180124223602484472049690,-6.566104702750665483584738240,-0.2661934338952972493345164200,-8.108108108108108108108108110,,,False,False,
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,etf,2022-06-01,60,60,10.78,11.6000,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-3.388856978747846065479609420,-4.307869040781160252728317060,-13.21079839172889144170017231,-8.268590455049944506104328520,,,False,False,
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,etf,2023-09-08,60,60,9.30,18.6500,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-9.207547169811320754716981130,-0.9811320754716981132075471700,-1.660377358490566037735849060,-13.81132075471698113207547170,,,False,False,
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,etf,2024-12-20,60,60,28.10,21.7500,75,25,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.626970227670753064798598950,-0.0875656742556917688266199600,-4.816112084063047285464098070,-4.458041958041958041958041960,,,False,False,
2621.T,iシェアーズ 米国債20年超 ETF（為替ヘッジあり）,jp,etf,etf,2026-04-13,60,60,9.47,23.5000,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.281368821292775665399239540,-2.471482889733840304182509510,,-4.793233082706766917293233080,,,False,False,
4063.T,Shin-Etsu Chemical,jp,stock,already_rising,2016-11-14,60,60,62.59,98.2000,17.87564800248868,82.12435199751132,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,9.151895727268480042534514900,16.79444349031315466292734940,19.02251918004954610037037110,-5.891089108910891089108910890,,,True,False,
4063.T,Shin-Etsu Chemical,jp,stock,chart_shape,2019-02-22,60,60,62.17,52.2000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.565011951463440973580213670,-2.571098685306995490867016890,10.29488645949601064902999000,-12.83694742761840245051837889,,,False,False,
4063.T,Shin-Etsu Chemical,jp,stock,chart_shape,2021-07-14,60,60,86.91,70.0000,1.18735318679788,98.81264681320212,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.413314840499306518723994450,3.938973647711511789181692100,11.59500693481276005547850210,-15.75005850690381465012871519,,,False,True,
4063.T,Shin-Etsu Chemical,jp,stock,chart_shape,2023-11-24,60,60,61.84,54.9000,0.561059043622755,99.438940956377245,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,10.66232771822358346094946400,22.81776416539050535987748850,13.20826952526799387442572740,-6.315789473684210526315789470,,,True,False,
4063.T,Shin-Etsu Chemical,jp,stock,sideways,2026-04-13,60,60,71.30,55.3500,9.60731737915286,90.39268262084714,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,6.649654758330831582107475200,9.876913839687781447012909000,,-14.23264155777606968998206508,,,True,False,
