symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,etf,2016-11-14,60,60,10.63,23.0000,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,4.503020318506315211422295400,5.326743547501372872048325100,2.745744096650192202086765500,-3.821015585721468074409250880,,,False,False,
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,etf,2019-02-22,60,60,33.03,35.8500,55,45,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく11点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,2.487309644670050761421319800,4.568527918781725888324873100,12.33502538071065989847715740,-3.056768558951965065502183410,,,False,False,
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,etf,2021-07-13,60,60,73.12,45.4500,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.179487179487179487179487180,-5.897435897435897435897435900,-7.670940170940170940170940170,-7.394815129621759456013599660,,,False,True,
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,etf,2023-11-24,60,60,68.54,41.6000,15,85,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.310817673946165566277298120,-6.094464195022854240731335700,-4.189944134078212290502793300,-8.148893360160965794768611670,,,False,True,
1343.T,NEXT FUNDS J-REIT ETF,jp,etf,etf,2026-04-13,60,60,64.70,47.1000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.657335907335907335907335910,-4.633204633204633204633204630,,-10.59885931558935361216730038,,,False,False,
1605.T,Inpex,jp,stock,sideways,2016-11-14,60,60,85.94,100,12.14064909798345,87.85935090201655,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,24.62686567164179104477611940,15.02487562189054726368159200,10.54726368159203980099502490,-15.50695825049701789264413519,,,True,False,
1605.T,Inpex,jp,stock,chart_shape,2019-02-22,60,60,42.91,35.9500,43.37942806988802,56.62057193011198,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく3点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-8.810572687224669603524229070,-20.40528419259361233480176211,-20.84581282695484581497797357,-20.40528419259361233480176211,,,False,False,
1605.T,Inpex,jp,stock,chart_shape,2021-07-14,60,60,69.63,53.1500,32.24597810239856,67.75402189760144,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-7.372175980975029726516052320,16.40903686087990487514863260,29.36979785969084423305588590,-13.55529131985731272294887039,,,True,False,
1605.T,Inpex,jp,stock,sideways,2023-11-24,60,60,85.89,71.4500,1.516682809904584,98.483317190095416,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-8.666824532322993132843949800,-6.038361354487331281079801090,12.28984134501539190149183050,-12.69239876864788065356381719,,,False,True,
1605.T,Inpex,jp,stock,chart_shape,2026-04-13,60,60,63.49,70.5000,21.242741579541864,78.757258420458136,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく6点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-8.323591302314706570025718960,-21.41688099134907645545943418,,-25.08767827916764086976852934,,,False,False,
